# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dolls
# Exported by: [CM] Badger
setting:	replacespawns 1
ttt_playerspawn	-703.502502 291.933075 -143.936798	0.050 90.167 0.147
ttt_playerspawn	-642.582458 191.003647 -276.024658	0.001 89.624 -0.095
ttt_playerspawn	488.070618 -618.714050 -31.490202	0.010 0.000 -0.010
ttt_playerspawn	380.265289 -784.329590 128.574036	-0.003 -39.017 0.085
ttt_playerspawn	746.944214 341.862579 128.544571	-0.089 -89.918 -0.005
ttt_playerspawn	-41.635353 990.859436 112.563408	-0.119 0.127 0.003
ttt_playerspawn	-311.829224 320.699768 -703.435364	-0.028 22.922 0.003
ttt_playerspawn	-743.173523 86.482124 -703.455566	-0.004 90.000 0.004
ttt_playerspawn	606.616699 -202.835846 -639.511780	-0.009 90.000 0.009
ttt_playerspawn	299.738068 -855.998596 -535.451172	-0.008 49.033 0.008
ttt_playerspawn	673.254272 -847.132935 -255.498138	0.142 134.772 -0.005
ttt_playerspawn	-763.475586 -773.390869 176.493042	-0.011 179.977 0.179
ttt_playerspawn	-1015.851868 -422.936066 273.040588	71.566 89.865 176.258
ttt_playerspawn	-1004.110413 794.441040 -695.510803	0.016 -89.973 0.215
ttt_playerspawn	600.330444 -475.953125 -255.510788	-0.124 -0.029 0.035
ttt_playerspawn	48.243732 979.400757 -703.433289	-0.003 -89.906 -0.027
ttt_playerspawn	-716.191895 -756.244995 -703.527954	0.008 -0.000 -0.008
ttt_playerspawn	-32.410675 -492.279907 -703.496216	0.007 37.454 -0.074
ttt_playerspawn	457.037537 -467.369476 -703.523315	-0.100 134.857 -0.010
ttt_playerspawn	-512.225586 972.421265 -191.461761	0.000 -89.965 0.051
ttt_playerspawn	492.431824 -654.225769 -703.454651	0.044 -135.009 0.004
ttt_playerspawn	257.986542 426.273010 -703.453735	-0.004 -90.000 -0.004
ttt_playerspawn	40.957973 1253.418457 -323.430450	-0.014 -135.000 -0.014
ttt_playerspawn	-1072.209229 -781.093323 -695.465759	-0.008 0.004 0.008
ttt_playerspawn	-643.499146 713.723389 -703.451965	-0.004 -89.991 0.039
ttt_playerspawn	-553.603394 860.524170 -543.420715	0.035 1.463 -0.003
ttt_playerspawn	193.460220 923.617554 -319.504395	0.010 0.000 -0.010
ttt_playerspawn	636.022339 -559.206360 -535.506836	-0.014 -90.000 0.014
ttt_playerspawn	651.036316 762.224365 -703.536865	-0.099 -134.821 -0.011
ttt_playerspawn	810.231445 201.841476 -254.466095	-0.006 177.286 -0.008
weapon_ttt_ak47	-925.533508 869.022583 -694.784058	-0.337 12.923 -90.995
weapon_ttt_ak47	597.947083 982.098633 -703.084961	0.103 13.329 -87.838
weapon_ttt_ak47	-638.443481 463.819427 -124.794479	0.119 -34.087 -88.533
item_box_buckshot_ttt	136.765717 647.201721 -494.355865	-0.185 -0.146 18.038
item_box_buckshot_ttt	128.027130 642.272705 -495.621155	0.146 0.003 -0.034
item_box_buckshot_ttt	-1092.164795 -208.283539 -695.620728	0.795 -0.053 -0.479
item_box_buckshot_ttt	-1072.665527 -199.050095 -695.621094	0.138 0.003 -0.027
item_box_buckshot_ttt	-103.533173 716.786072 -319.626068	0.754 -0.022 -0.522
item_box_buckshot_ttt	-86.098602 715.286621 -319.616760	-0.531 -0.004 0.512
item_box_buckshot_ttt	-100.117226 679.941406 -319.610626	-0.994 0.018 0.882
item_box_buckshot_ttt	-908.040527 48.135918 -695.585144	0.778 0.526 -0.078
item_box_buckshot_ttt	-916.533264 43.240021 -695.511169	0.020 1.256 -0.362
item_box_buckshot_ttt	575.156555 -560.173340 -253.585587	0.344 0.160 0.004
item_box_buckshot_ttt	583.953613 -566.027771 -254.098175	-0.069 -0.215 -17.890
item_box_buckshot_ttt	593.089294 -561.576599 -255.545410	-0.454 -0.006 0.404
item_box_buckshot_ttt	-831.249695 -516.885193 -175.623535	0.493 0.018 -0.315
item_box_buckshot_ttt	-818.742371 -508.783325 -175.586990	-0.781 -0.005 0.694
item_box_buckshot_ttt	762.477722 541.529846 -411.502655	-0.349 -0.987 0.447
item_box_buckshot_ttt	751.868042 546.890686 -405.541992	-58.578 176.067 179.629
weapon_ttt_smokegrenade	-663.432678 338.528015 -406.325592	-76.168 -4.216 -33.691
weapon_ttt_smokegrenade	-657.215576 337.333405 -406.806732	19.377 47.376 -90.471
weapon_ttt_smokegrenade	-666.301819 332.639191 -408.288605	-0.925 -1.805 -0.202
weapon_ttt_smokegrenade	-809.835388 -607.408447 -703.872314	-1.097 -1.264 -0.639
weapon_ttt_smokegrenade	-812.009827 -600.507202 -703.832275	-0.670 -1.343 -0.390
weapon_ttt_smokegrenade	-802.545349 -605.191650 -703.848022	-0.838 -1.322 -0.488
weapon_ttt_smokegrenade	808.257874 699.624756 -319.887146	-1.168 -1.481 -1.787
weapon_ttt_smokegrenade	810.302429 688.114075 -319.826080	-0.562 -1.736 -0.855
weapon_ttt_smokegrenade	800.737915 689.949585 -319.812195	-0.424 -1.750 -0.643
weapon_ttt_smokegrenade	640.566833 -262.777496 -254.572662	14.810 -6.774 -9.224
weapon_ttt_smokegrenade	640.186035 -268.238373 -253.268723	-47.484 -65.859 -86.741
