# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_port
# Exported by: [CM] Badger
setting:	replacespawns 1
ttt_playerspawn	-1822.562744 -798.217163 512.494202	0.037 0.000 -0.037
ttt_playerspawn	-1817.954346 -947.733337 512.539612	0.018 -0.000 -0.019
ttt_playerspawn	-1782.036133 -1107.611938 512.554749	-0.015 -0.000 0.014
ttt_playerspawn	-1993.951050 -1040.437500 512.501038	0.037 -0.000 -0.037
ttt_playerspawn	-2009.828003 -871.918030 512.484436	0.037 -0.000 -0.037
ttt_playerspawn	-1870.526367 -612.788086 512.506653	0.027 -0.000 -0.027
ttt_playerspawn	-1955.840210 -734.727783 512.499512	0.034 0.000 -0.034
ttt_playerspawn	-2030.046021 -601.737488 512.560242	0.014 0.000 -0.014
ttt_playerspawn	-2095.817383 -739.333374 512.527527	0.005 -0.000 -0.030
ttt_playerspawn	-2096.845947 -956.297119 512.523010	-0.025 0.000 0.025
ttt_playerspawn	-2206.094482 -825.822693 512.517517	0.031 0.000 -0.031
ttt_playerspawn	-2183.686768 -586.889587 512.522339	-0.029 -0.000 0.029
ttt_playerspawn	-2330.468018 -705.275513 512.501343	0.066 0.000 0.001
ttt_playerspawn	-2330.977295 -843.134888 512.489075	0.045 -0.000 -0.045
ttt_playerspawn	-2253.421387 -994.082397 512.530396	0.023 0.000 -0.023
ttt_playerspawn	-2451.565918 -940.055847 512.533508	0.020 0.000 -0.020
ttt_playerspawn	-2465.217529 -761.774170 512.476807	0.040 -0.000 -0.043
ttt_playerspawn	-2447.481201 -612.369324 512.454163	0.041 -0.000 -0.041
ttt_playerspawn	-2313.122070 -546.133301 512.578491	0.087 0.248 -0.155
ttt_playerspawn	-2360.584473 -1034.333252 512.513977	-0.029 0.000 0.029
ttt_playerspawn	-2087.495850 -1194.863525 512.552795	0.018 0.000 -0.018
ttt_playerspawn	-2287.763428 -1189.441650 512.503113	0.030 -0.000 -0.030
ttt_playerspawn	-2167.008301 -1279.483887 512.477661	0.051 -0.000 -0.040
ttt_playerspawn	-2528.330322 -1132.506592 512.518555	0.027 0.000 -0.027
ttt_playerspawn	-2425.792969 -1204.556885 512.486694	0.035 -0.000 -0.035
ttt_playerspawn	-2287.320068 -1337.586426 512.477905	0.036 -0.000 -0.036
ttt_playerspawn	-2536.051758 -1259.033447 512.511108	0.028 0.000 -0.028
ttt_playerspawn	-2417.915283 -1345.376831 512.510986	0.031 -0.000 -0.031
ttt_playerspawn	-2305.654541 -1481.232910 512.488647	0.028 0.000 -0.033
ttt_playerspawn	-2396.817383 -1613.161255 641.640137	0.076 5.215 -0.001
weapon_ttt_ak47	1735.542725 -359.411255 448.882294	0.146 11.848 -87.456
weapon_ttt_ak47	2050.913574 -1243.277588 512.904541	0.135 13.216 -87.863
weapon_ttt_ak47	-1734.164307 1876.228638 524.874023	0.157 13.137 -87.361
weapon_ttt_ak47	808.961487 1876.418701 514.966003	6.251 5.001 -89.697
weapon_ttt_ak47	-1946.861572 -1213.533081 641.969055	0.045 9.255 -87.347
item_box_buckshot_ttt	-1608.940796 865.563782 512.457581	-0.205 -0.018 0.848
item_box_buckshot_ttt	-1607.129761 890.840881 512.483826	0.226 -0.005 0.182
item_box_buckshot_ttt	-1582.058350 900.209900 512.478821	-0.940 -0.015 1.119
item_box_buckshot_ttt	-1551.740112 895.795715 512.470398	1.616 -0.219 -0.392
item_box_buckshot_ttt	1191.602417 697.309814 448.456512	-0.601 0.026 -1.089
item_box_buckshot_ttt	1170.301147 661.697083 448.465790	0.314 -0.007 0.338
item_box_buckshot_ttt	1198.077271 662.000671 448.422394	-0.164 0.024 -1.028
item_box_buckshot_ttt	1193.279175 716.572815 448.428406	-0.537 0.033 -1.292
item_box_buckshot_ttt	993.982422 -265.454102 448.414703	0.872 -0.009 0.184
item_box_buckshot_ttt	985.460815 -247.863907 448.486389	0.151 -0.005 0.207
item_box_buckshot_ttt	981.953796 -226.141205 448.466705	0.225 -0.007 0.393
item_box_buckshot_ttt	-1013.490723 -839.973816 565.167725	1.005 0.002 -0.814
item_box_buckshot_ttt	-1036.777954 -826.032104 565.211609	0.931 -0.002 0.807
item_box_buckshot_ttt	-2184.567139 -475.605469 641.496643	-1.248 -0.015 1.093
item_box_buckshot_ttt	-2174.777100 -477.968506 641.488708	0.292 0.003 -0.151
item_box_buckshot_ttt	-2134.268311 638.068665 512.419006	1.587 0.064 0.629
item_box_buckshot_ttt	-2120.170410 637.581421 512.450562	1.496 0.182 0.429
item_box_buckshot_ttt	2109.023926 905.987976 528.013000	-0.745 -0.008 0.646
item_box_buckshot_ttt	2119.626953 914.937927 528.022156	0.261 -0.003 -0.126
item_box_buckshot_ttt	473.197205 -931.795654 689.867188	-0.085 0.086 -0.094
item_box_buckshot_ttt	478.905212 -982.499512 689.820557	-0.280 -0.023 -0.125
item_box_buckshot_ttt	-2090.615234 -1465.740112 641.526001	-0.861 -0.007 0.731
item_box_buckshot_ttt	-2098.483398 -1454.693359 641.454895	0.609 0.003 -0.485
item_box_buckshot_ttt	-2110.287598 -1465.176392 641.494934	-0.726 -0.005 0.669
weapon_ttt_smokegrenade	-1637.215454 438.350006 516.582214	2.909 -0.130 -3.008
weapon_ttt_smokegrenade	-1615.424194 443.622498 516.580017	2.943 -0.132 -3.040
weapon_ttt_smokegrenade	-1579.508179 470.851013 516.601685	2.356 -0.127 -2.432
weapon_ttt_smokegrenade	-229.444595 -941.089722 644.592590	2.617 -0.134 -2.704
weapon_ttt_smokegrenade	455.344696 834.817383 964.558289	3.518 -0.113 -3.661
weapon_ttt_smokegrenade	1781.376587 365.402100 694.534912	1.399 0.011 -1.210
weapon_ttt_smokegrenade	-153.489594 3750.438965 516.503906	0.272 0.003 0.094
weapon_ttt_smokegrenade	-145.551697 3811.856934 516.506470	0.287 0.003 0.072
weapon_ttt_smokegrenade	-159.397095 3911.318115 516.576599	3.031 -0.136 -3.130
weapon_ttt_smokegrenade	-111.078400 3845.304443 516.617920	1.880 -0.119 -1.936
weapon_ttt_smokegrenade	-118.370102 3776.912354 516.536072	1.663 0.008 -1.502
weapon_ttt_smokegrenade	-98.971397 3895.418457 516.614502	1.956 -0.119 -2.012
weapon_ttt_smokegrenade	14.448800 -1955.373535 771.090576	-1.840 -0.766 0.868
weapon_ttt_smokegrenade	973.814819 -3137.955322 773.413818	2.365 -1.282 -1.921
weapon_ttt_smokegrenade	-1142.046021 373.839355 878.449219	23.302 -61.030 -96.638
weapon_ttt_smokegrenade	-1143.479370 368.078918 878.579468	22.475 -63.673 -96.443
weapon_ttt_smokegrenade	-1129.912720 371.589020 877.375366	27.058 71.477 97.985
weapon_ttt_smokegrenade	-1145.446289 375.681091 877.388367	7.553 -14.016 -3.990
weapon_ttt_smokegrenade	-1150.112915 370.818665 879.864563	-62.379 -65.945 -105.214
item_ammo_357_ttt	533.567078 870.138672 960.403015	1.258 -0.047 -0.949
item_ammo_357_ttt	566.621521 880.917419 960.409729	1.179 -0.040 -0.854
item_ammo_357_ttt	595.976624 877.865295 960.413330	1.138 -0.036 -0.804
item_ammo_357_ttt	614.766479 844.609924 960.431824	0.923 -0.025 -0.543
item_ammo_357_ttt	-742.057617 975.470215 619.221130	-11.134 -0.851 -1.516
item_ammo_357_ttt	-727.829285 980.450378 619.957092	-2.379 -0.649 -8.158
item_ammo_357_ttt	-706.075317 994.464172 616.985779	5.539 1.801 -16.633
item_ammo_357_ttt	-666.606628 994.341370 608.802429	-87.620 40.484 -35.020
item_ammo_357_ttt	-705.067383 960.350830 621.032776	13.040 1.785 -4.744
item_ammo_357_ttt	-3198.921631 1174.282837 640.411682	1.159 -0.037 -0.831
item_ammo_357_ttt	-3179.554932 1136.924805 640.429016	0.959 -0.026 -0.587
item_ammo_357_ttt	-3169.833740 1089.014160 640.401123	1.282 -0.048 -0.981
item_ammo_357_ttt	-537.954712 3881.164551 512.420776	1.055 -0.031 -0.705
item_ammo_357_ttt	-558.701721 3896.170166 512.432129	0.924 -0.025 -0.546
item_ammo_357_ttt	-580.633301 3921.137939 512.403381	1.259 -0.047 -0.954
item_ammo_357_ttt	-570.553772 3874.086182 512.406372	1.224 -0.042 -0.912
item_ammo_357_ttt	-580.875488 3890.124512 512.434814	0.892 -0.024 -0.506
item_ammo_357_ttt	214.763596 -1923.246460 801.324829	0.411 0.421 -2.336
item_ammo_357_ttt	221.610107 -1954.256836 802.482178	0.410 0.421 -2.336
item_ammo_357_ttt	206.772903 -1972.141846 803.223511	0.225 0.429 -2.500
item_ammo_357_ttt	199.722305 -1948.558838 802.338501	0.459 0.407 -2.243
item_ammo_357_ttt	-243.390305 1272.158691 641.425720	0.443 0.071 0.061
item_ammo_357_ttt	-261.698212 1315.124390 641.527893	0.466 0.052 0.021
item_ammo_357_ttt	-228.273895 1307.821899 641.445374	0.447 0.063 0.053
item_ammo_357_ttt	-264.170685 1339.949219 641.423279	0.443 0.071 0.062
item_ammo_357_ttt	-270.227997 1267.770264 641.445374	0.447 0.063 0.053
item_ammo_357_ttt	2787.161621 273.251404 512.416687	1.112 -0.035 -0.780
