# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_tides
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-1032.097778 653.800781 29.152124	0.907 -8.302 -84.658
weapon_ttt_smokegrenade	601.750427 533.119385 -107.824402	2.214 -0.122 -2.262
weapon_ttt_smokegrenade	-1185.959473 982.726929 -73.228203	61.852 -49.799 83.788
weapon_ttt_smokegrenade	-148.873199 -1783.260864 4.527500	0.725 0.011 -0.481
weapon_ttt_smokegrenade	450.690613 -612.863525 4.605000	2.246 -0.127 -2.316
ttt_random_weapon	783.367798 808.907227 -65.597397	2.001 -46.657 -92.465
ttt_random_weapon	-1219.656250 153.302200 -1.234600	18.793 -19.887 85.959
ttt_random_weapon	-522.755371 25.162500 41.534401	1.955 5.372 -92.413
ttt_random_weapon	-25.537300 -1292.674438 29.566999	1.868 4.716 -92.613
ttt_random_weapon	-594.899719 963.345886 -51.715500	3.952 -37.466 82.913
ttt_random_weapon	-1116.702271 1215.225952 -71.272697	2.063 -8.407 83.531
ttt_random_weapon	-1407.236572 -1342.485107 -126.799004	1.834 5.712 -92.809
ttt_random_weapon	-902.321899 -1687.370850 -102.792099	1.786 4.709 -92.802
ttt_random_weapon	-457.617310 -917.213379 17.206699	1.800 4.711 -92.770
ttt_random_weapon	-1478.810303 -432.799286 -14.788400	1.745 4.927 -92.896
ttt_random_weapon	1055.548462 -1399.860840 -62.790199	1.765 4.546 -92.849
ttt_random_weapon	1333.842529 -1747.993530 1.199900	1.876 4.716 -92.595
ttt_random_weapon	726.783630 -1629.549927 1.192000	1.965 4.719 -92.391
ttt_random_weapon	-131.820007 -1769.963745 1.197700	1.901 4.718 -92.537
ttt_random_weapon	-387.846191 -1120.500122 1.215600	1.699 4.701 -93.000
ttt_random_weapon	-918.070679 -995.137695 1.194500	1.937 4.719 -92.456
ttt_random_weapon	-998.364319 -282.661804 -14.773400	1.575 4.917 -93.284
ttt_random_weapon	-1468.088989 -480.611511 -14.783800	1.692 4.925 -93.016
ttt_random_weapon	-723.319824 -30.679399 -126.836998	2.237 5.677 -91.980
ttt_random_weapon	-894.546204 629.030518 -94.789200	1.754 4.367 -92.875
ttt_random_weapon	404.806305 805.258789 -126.790604	1.745 5.717 -92.993
ttt_random_weapon	737.048401 420.264008 -126.770798	1.546 5.224 -93.351
item_ammo_smg1_ttt	179.105606 652.061584 -82.038803	-0.090 -90.466 169.047
item_ammo_smg1_ttt	-401.023193 666.178589 -74.651497	-75.765 22.437 -23.301
item_ammo_smg1_ttt	-1038.293457 485.151611 9.735700	0.000 46.584 -87.964
item_ammo_smg1_ttt	-1022.947205 310.409485 85.196404	-88.995 146.514 11.314
item_ammo_smg1_ttt	-1394.961792 -300.389587 -15.548300	-0.017 -91.590 0.008
