# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_island17
# Exported by: Badger
setting:	replacespawns 1
weapon_ttt_awp	11.346085 150.829788 929.226318	0.864 -8.352 -85.056
weapon_ttt_awp	-2078.666260 643.400269 -106.469994	-9.705 -48.765 97.326
weapon_ttt_awp	-199.145859 -767.296021 -493.392792	5.799 -9.382 -86.168
weapon_ttt_awp	-2294.119873 -1007.864502 -440.476105	10.937 10.964 107.458
weapon_ttt_smokegrenade	130.184189 53.433037 812.184082	-1.355 -1.382 -1.149
weapon_ttt_smokegrenade	130.775513 62.348652 812.174683	-1.816 -1.207 -1.267
weapon_ttt_smokegrenade	396.570496 -179.357437 40.154041	-1.620 -1.419 -1.649
weapon_ttt_smokegrenade	392.932129 -173.225189 40.198616	-0.670 -1.565 -0.679
weapon_ttt_smokegrenade	400.079071 -172.609726 40.166550	-1.357 -1.483 -1.374
weapon_ttt_smokegrenade	-1144.075073 1568.947144 -138.329559	20.682 -22.414 105.177
weapon_ttt_smokegrenade	-1159.971924 1565.334595 -141.175339	28.040 -41.730 105.078
weapon_ttt_smokegrenade	-1149.996094 1570.144287 -139.162277	11.984 128.706 -105.233
weapon_ttt_smokegrenade	-1634.343140 -816.179199 -175.835373	-1.394 -1.486 -1.419
weapon_ttt_smokegrenade	-1634.435059 -801.848816 -175.841537	-1.525 -1.456 -1.553
weapon_ttt_smokegrenade	-1628.133911 -816.451904 -175.848846	-0.943 -0.788 -0.778
weapon_ttt_smokegrenade	-2341.910400 946.811157 -276.590607	-2.166 0.301 -3.558
weapon_ttt_smokegrenade	-2340.133057 953.220032 -275.960938	-17.418 15.924 -19.074
weapon_ttt_smokegrenade	157.623703 745.382629 -497.993774	20.221 -0.985 -103.326
weapon_ttt_smokegrenade	140.025925 728.314758 -494.475708	15.229 -12.732 -102.784
weapon_ttt_smokegrenade	209.046219 -43.525921 -480.729919	-0.000 43.680 0.000
weapon_ttt_smokegrenade	205.720352 -36.146496 -481.869537	-2.123 -1.113 -2.164
weapon_ttt_smokegrenade	-1211.868042 -1377.691284 -451.989044	21.717 -51.194 -91.314
weapon_ttt_smokegrenade	-1216.708740 -1366.502075 -451.758575	25.766 -55.366 -89.839
weapon_ttt_smokegrenade	-1202.593506 -1374.198242 -451.821381	24.888 56.495 90.905
weapon_ttt_pump	15.924480 -63.935463 801.465637	-1.293 -84.360 87.328
weapon_ttt_pump	-1159.342896 1559.876099 -143.035049	-10.960 14.059 96.655
weapon_ttt_pump	-1249.232910 -846.447510 -326.383484	-1.860 9.986 86.841
weapon_ttt_pump	-1226.543701 -548.091125 -182.623199	-0.054 -18.966 -88.610
ttt_random_weapon	42.301563 -21.514309 673.142944	2.231 44.341 -92.916
ttt_random_weapon	-216.910828 -53.908443 25.235189	1.478 5.454 -93.507
ttt_random_weapon	-296.122345 -52.311687 25.228100	1.558 6.305 -93.323
ttt_random_weapon	-1736.066650 356.778687 -259.339783	-5.636 -10.523 178.663
ttt_random_weapon	-1699.934692 379.929626 -259.442749	-2.326 -8.224 95.122
ttt_random_weapon	17.623846 570.971985 -232.683563	-8.532 7.557 -92.037
ttt_random_weapon	6.805225 553.014160 -235.480331	-8.413 7.197 -91.600
ttt_random_weapon	-1441.143921 -594.283875 -174.793732	1.805 4.927 -92.758
ttt_random_weapon	-1232.644775 -462.931030 -182.783447	1.689 4.767 -93.024
ttt_random_weapon	-1053.944336 194.748093 -313.718262	2.615 2.983 -92.825
ttt_random_weapon	-1287.232300 710.512817 -480.137177	-0.738 3.202 85.804
ttt_random_weapon	-1883.288330 990.095459 -480.813660	7.406 1.630 -96.989
ttt_random_weapon	126.263405 777.619080 -495.603973	2.361 -20.193 96.173
ttt_random_weapon	134.865707 749.500916 -498.856384	2.163 21.330 73.972
ttt_random_weapon	54.757576 16.984674 -486.883575	-23.889 1.484 84.142
ttt_random_weapon	-331.451385 -1111.663452 -493.353577	-5.826 -8.809 87.292
ttt_random_weapon	-989.453308 368.278625 58.794365	-2.541 10.084 -105.131
ttt_random_weapon	-1294.855225 1496.884766 -482.533783	-0.181 98.289 106.693
ttt_random_weapon	-944.709656 1075.405518 193.241150	1.410 15.077 -93.662
ttt_random_weapon	-1070.235352 881.526978 193.216064	1.694 4.767 -93.012
weapon_ttt_dualelite	-1625.879028 -604.105591 -183.942123	2.076 -14.737 0.540
weapon_ttt_dualelite	-14.787390 304.109283 31.961390	1.959 0.154 -0.055
weapon_ttt_dualelite	-1045.682617 880.284973 113.487144	1.790 -0.345 -0.093
weapon_ttt_dualelite	68.465515 -740.722717 -506.986084	16.329 1.752 6.370
weapon_ttt_dualelite	-1958.844360 33.870705 -319.935455	1.460 0.698 -0.236
weapon_ttt_dualelite	-2006.521729 1642.580933 -482.849457	-0.355 0.213 -8.113
weapon_ttt_dualelite	-1738.082275 417.524872 -257.996307	4.022 1.223 5.451
weapon_ttt_dualelite	-255.913239 1537.543091 80.181503	13.210 1.346 2.641
weapon_ttt_dualelite	-887.551392 742.895020 136.984955	8.055 10.860 -156.500
weapon_ttt_dualelite	-898.359253 268.905365 63.861820	14.869 0.266 -1.602
weapon_ttt_dualelite	-142.942719 763.341003 -13.200631	2.286 -0.040 -1.252
weapon_ttt_dualelite	-7.690003 -177.959167 31.984850	2.039 0.149 -0.050
item_ammo_smg1_ttt	34.150219 202.356064 33.309723	-8.079 0.548 0.257
item_ammo_smg1_ttt	48.653904 203.076309 34.140850	-2.750 -0.323 4.340
item_ammo_smg1_ttt	392.596039 273.736938 32.539749	-0.143 3.044 0.006
item_ammo_smg1_ttt	351.033508 265.875122 32.430599	0.756 -0.002 0.495
item_ammo_smg1_ttt	413.369904 287.691986 32.549194	0.042 1.158 -0.027
item_ammo_smg1_ttt	404.762268 260.585999 34.287064	1.596 -1.768 2.340
item_ammo_smg1_ttt	-1363.547607 990.009155 -63.448540	0.653 -0.013 0.517
item_ammo_smg1_ttt	-1342.202271 989.939697 -63.453266	0.050 -0.810 0.146
item_ammo_smg1_ttt	-1261.507568 758.012451 -79.531456	0.139 -0.213 0.510
item_ammo_smg1_ttt	-1246.034668 739.470337 -79.485558	-0.769 0.057 -0.179
item_ammo_smg1_ttt	604.256226 636.753418 -167.828156	3.547 -7.467 8.364
item_ammo_smg1_ttt	587.544434 655.468018 -164.372757	1.627 -0.429 4.971
item_ammo_smg1_ttt	200.949356 173.390091 -481.470123	0.474 1.215 -0.087
item_ammo_smg1_ttt	183.911148 174.010498 -481.539490	-0.096 0.116 0.390
item_ammo_smg1_ttt	-246.624527 -778.709961 -489.571198	5.269 -4.915 -1.345
item_ammo_smg1_ttt	-278.397858 -771.726257 -486.913757	5.269 0.008 -0.963
item_ammo_smg1_ttt	-1133.915771 -906.498535 -328.257965	0.352 -0.121 4.253
item_ammo_smg1_ttt	-1114.799072 -921.043640 -329.410950	0.327 -0.103 4.123
item_ammo_smg1_ttt	-1447.763916 -814.082336 -183.206436	-0.831 -0.119 -1.116
item_ammo_smg1_ttt	-521.861877 1674.010742 70.599335	1.066 28.626 -15.943
item_ammo_smg1_ttt	-524.980896 1653.289063 77.878265	-21.996 -3.200 -18.120
item_ammo_smg1_ttt	-1750.063965 1150.679199 -479.208221	-47.924 -16.098 -6.480
item_ammo_smg1_ttt	-1734.549805 1167.901001 -482.654266	-17.455 -0.286 -3.764
item_ammo_smg1_ttt	-1279.120117 1980.807007 -487.832581	85.475 106.713 110.800
weapon_ttt_m16	260.251251 83.899345 41.688751	8.400 8.085 -94.271
weapon_ttt_m16	-181.062546 844.265442 -231.258270	-3.773 0.734 -81.679
weapon_ttt_m16	-1022.539917 -800.947021 -320.507904	0.662 9.381 -80.718
ttt_playerspawn	-1428.066406 -448.287720 -183.459229	0.096 179.888 0.006
ttt_playerspawn	-1578.744507 -679.667664 -183.488358	-0.015 -0.000 0.015
ttt_playerspawn	-2195.625977 -988.412964 -447.439667	-0.126 44.985 0.000
ttt_playerspawn	-2039.502563 72.417046 -319.406403	0.111 3.519 -0.121
ttt_playerspawn	-2023.943848 1064.852417 -239.471725	-0.179 -1.596 -0.156
ttt_playerspawn	-1858.947998 1211.517700 -489.414703	-1.178 -23.241 1.050
