# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_aircraft_v1b
# Exported by: [CM] Badger
setting:	replacespawns 1
ttt_playerspawn	0.324676 -1998.130493 0.574734	0.005 89.586 0.083
ttt_playerspawn	534.629761 -502.355743 0.491301	-0.000 0.004 0.000
ttt_playerspawn	-0.270052 -918.855591 0.528953	-0.095 -89.914 -0.098
ttt_playerspawn	-527.022278 760.621765 192.599075	0.012 -179.914 -0.010
ttt_playerspawn	-544.968933 -210.108490 384.542938	-0.006 -0.000 0.006
ttt_playerspawn	-211.739517 -189.315826 384.536224	-0.006 179.921 0.197
ttt_playerspawn	216.576843 923.168396 384.475830	-0.027 -90.730 -0.028
ttt_playerspawn	-464.781464 589.588135 0.511665	-0.011 -89.968 -0.198
ttt_playerspawn	19.291683 1393.776123 0.533926	-0.105 -90.000 -0.105
ttt_playerspawn	-685.326904 1814.802002 0.458973	-0.014 -0.000 0.014
ttt_playerspawn	-97.354904 566.182373 0.543059	-0.085 88.320 -0.096
ttt_playerspawn	714.159119 1210.189209 0.868948	0.002 -174.538 1.363
ttt_playerspawn	68.272675 1026.768188 192.499390	0.103 89.989 -0.010
ttt_playerspawn	468.667999 819.278198 192.553955	-0.073 94.406 0.073
ttt_playerspawn	528.078796 -206.651489 384.528473	-0.008 -0.029 0.007
ttt_playerspawn	-1.687631 765.509521 384.579163	-0.009 -89.921 0.057
ttt_playerspawn	-387.161224 1679.681519 384.535645	-0.006 -0.000 0.006
ttt_playerspawn	375.789795 1675.910522 384.483246	0.046 -180.000 -0.047
ttt_playerspawn	-12.165629 -208.327118 0.597867	-0.045 90.034 0.034
ttt_playerspawn	237.482117 1188.523560 -191.485733	-0.001 179.883 0.273
ttt_playerspawn	285.138702 1625.930054 0.498809	-0.010 0.000 0.010
ttt_playerspawn	438.589081 -143.920090 0.446425	0.017 -3.181 -0.018
ttt_playerspawn	336.578522 224.139206 0.494124	-0.011 0.000 0.011
ttt_playerspawn	-726.447998 -1058.672852 0.469223	-0.013 -0.000 0.013
ttt_playerspawn	-349.412537 1324.882568 -191.465851	-0.085 -90.041 -0.088
ttt_playerspawn	-169.231506 1625.110840 144.529617	-0.081 -0.483 -0.055
ttt_playerspawn	-714.865417 827.440430 -191.467361	-0.007 0.000 0.007
ttt_playerspawn	660.523071 514.989990 -191.559311	0.013 177.506 0.031
ttt_playerspawn	-332.207489 292.555847 -191.497910	-0.369 94.389 0.054
ttt_playerspawn	-397.401764 1660.455688 -191.491119	-0.037 0.314 0.030
weapon_ttt_smokegrenade	-139.274994 912.283020 196.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	-144.912994 901.793030 196.735001	0.000 0.000 0.000
weapon_ttt_smokegrenade	632.000000 1998.000000 26.285999	0.000 0.000 0.000
weapon_ttt_smokegrenade	656.000000 1992.000000 25.813000	0.000 0.000 0.000
weapon_ttt_smokegrenade	-408.036011 1066.859985 -187.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-395.556000 1064.469971 -187.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	692.697998 236.580994 -187.264999	0.000 0.000 0.000
ttt_random_weapon	-184.000000 -1720.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	168.000000 -1720.000000 16.000000	0.000 0.000 0.000
ttt_random_weapon	560.000000 360.000000 56.000000	0.000 0.000 0.000
ttt_random_weapon	448.000000 416.000000 56.000000	0.000 0.000 0.000
ttt_random_weapon	-533.491028 -329.170013 9.372920	0.000 0.000 0.000
ttt_random_weapon	-285.867004 147.468002 9.372920	0.000 0.000 0.000
ttt_random_weapon	-305.260986 116.152000 9.372920	0.000 0.000 0.000
ttt_random_weapon	-651.500000 409.639008 57.967400	0.000 0.000 0.000
ttt_random_weapon	-581.794006 -184.207001 9.372920	0.000 0.000 0.000
ttt_random_weapon	-690.283020 672.952026 9.372920	0.000 0.000 0.000
ttt_random_weapon	-689.862000 1212.670044 9.372920	0.000 0.000 0.000
ttt_random_weapon	-458.722992 1967.260010 9.372920	0.000 0.000 0.000
ttt_random_weapon	-15.049000 1828.569946 9.372920	0.000 0.000 0.000
ttt_random_weapon	647.434021 1460.119995 9.372920	0.000 0.000 0.000
ttt_random_weapon	708.538025 1015.330017 9.372910	0.000 0.000 0.000
ttt_random_weapon	-194.007004 1645.819946 -182.626999	0.000 0.000 0.000
ttt_random_weapon	208.324005 1638.849976 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-699.567017 678.346008 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-565.508972 697.513000 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-497.250000 964.728027 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-332.502014 956.838013 -182.626999	0.000 0.000 0.000
ttt_random_weapon	683.031982 684.440979 -182.626999	0.000 0.000 0.000
ttt_random_weapon	694.288025 832.560974 -182.626999	0.000 0.000 0.000
ttt_random_weapon	492.662994 961.534973 -182.626999	0.000 0.000 0.000
ttt_random_weapon	508.264008 299.151001 -182.626999	0.000 0.000 0.000
ttt_random_weapon	691.122009 411.842987 -182.626999	0.000 0.000 0.000
ttt_random_weapon	343.333008 330.002991 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-686.806030 567.616028 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-667.939026 361.803009 -182.626999	0.000 0.000 0.000
ttt_random_weapon	-281.002014 582.189026 -182.626999	0.000 0.000 0.000
ttt_random_weapon	165.039001 619.442017 -182.626999	0.000 0.000 0.000
ttt_random_weapon	154.292999 222.979996 -182.626999	0.000 0.000 0.000
ttt_random_weapon	257.522003 -1184.500000 9.372910	0.000 0.000 0.000
ttt_random_weapon	133.554001 -166.401001 393.372986	0.000 0.000 0.000
ttt_random_weapon	-590.322998 21.901899 393.372986	0.000 0.000 0.000
ttt_random_weapon	-180.061996 168.466995 393.372986	0.000 0.000 0.000
ttt_random_weapon	599.702026 46.676601 393.372986	0.000 0.000 0.000
ttt_random_weapon	-669.005005 1978.650024 393.372986	0.000 0.000 0.000
ttt_random_weapon	-304.000000 -1296.000000 9.372910	0.000 0.000 0.000
weapon_zm_molotov	623.526001 656.382996 4.734560	0.000 0.000 0.000
weapon_zm_molotov	629.510986 672.127991 4.734560	0.000 0.000 0.000
weapon_zm_molotov	614.525024 676.507996 4.734560	0.000 0.000 0.000
weapon_zm_molotov	265.855011 218.561005 4.734560	0.000 0.000 0.000
weapon_zm_molotov	274.110992 232.613998 4.734560	0.000 0.000 0.000
weapon_zm_molotov	-520.015015 184.645996 388.734985	0.000 0.000 0.000
weapon_zm_molotov	709.396973 167.602997 196.735001	0.000 0.000 0.000
weapon_zm_molotov	721.067993 149.820999 196.735001	0.000 0.000 0.000
weapon_zm_molotov	-481.339996 1348.949951 388.734985	0.000 0.000 0.000
weapon_ttt_glock	-108.321999 575.737976 1.997950	0.000 0.000 0.000
weapon_ttt_m16	-402.200989 -58.639999 1.931700	0.000 0.000 0.000
ttt_random_ammo	-184.000000 -1744.000000 32.000000	0.000 0.000 0.000
ttt_random_ammo	168.000000 -1744.000000 32.000000	0.000 0.000 0.000
ttt_random_ammo	166.917999 919.096985 -191.998993	0.000 0.000 0.000
ttt_random_ammo	163.895004 894.580017 -191.998993	0.000 0.000 0.000
ttt_random_ammo	719.255005 -209.442993 384.001007	0.000 0.000 0.000
ttt_random_ammo	678.853027 -181.938995 384.001007	0.000 0.000 0.000
ttt_random_ammo	702.489014 -663.020996 0.000580	0.000 0.000 0.000
ttt_random_ammo	717.283020 -710.736023 0.000580	0.000 0.000 0.000
ttt_random_ammo	716.671021 -774.710022 0.000580	0.000 0.000 0.000
ttt_random_ammo	-549.638000 270.066986 192.001007	0.000 0.000 0.000
ttt_random_ammo	-599.161987 259.841003 192.001007	0.000 0.000 0.000
ttt_random_ammo	-289.089996 919.255981 192.001007	0.000 0.000 0.000
ttt_random_ammo	697.895996 1796.640015 0.000580	0.000 0.000 0.000
ttt_random_ammo	683.174988 1765.400024 0.000580	0.000 0.000 0.000
ttt_random_ammo	200.365005 564.078003 0.000600	0.000 0.000 0.000
ttt_random_ammo	710.218018 273.450012 40.543800	0.000 0.000 0.000
ttt_random_ammo	703.354004 255.772995 40.543800	0.000 0.000 0.000
ttt_random_ammo	546.130005 -202.007996 48.595100	0.000 0.000 0.000
ttt_random_ammo	716.036987 26.882799 0.000607	0.000 0.000 0.000
ttt_random_ammo	713.247986 -2.254880 0.000600	0.000 0.000 0.000
ttt_random_ammo	-701.807007 67.413696 0.000600	0.000 0.000 0.000
ttt_random_ammo	-710.405029 127.624001 0.000607	0.000 0.000 0.000
ttt_random_ammo	-650.854980 81.411102 0.000600	0.000 0.000 0.000
ttt_random_ammo	-699.294006 16.972500 0.000607	0.000 0.000 0.000
ttt_random_ammo	-705.981018 105.073997 0.000607	0.000 0.000 0.000
ttt_random_ammo	-703.448975 51.302898 0.000600	0.000 0.000 0.000
ttt_random_ammo	-666.507019 48.352200 0.000592	0.000 0.000 0.000
ttt_random_ammo	-718.559021 232.695007 0.000600	0.000 0.000 0.000
