# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_horriblenight_v1
# Exported by: Dяeam
setting:	replacespawns 1
weapon_zm_pistol	3351.0186 -377.8716 96.3094	-0.098 35.998 88.633
weapon_zm_pistol	3351.6799 -368.7879 96.3855	0.484 39.368 89.610
weapon_zm_pistol	3346.9946 -357.7060 96.3627	0.300 34.821 89.260
weapon_zm_pistol	2541.0422 1049.0707 72.3905	0.240 36.352 89.868
weapon_zm_pistol	2560.1133 1047.7073 72.3825	0.067 39.725 89.925
weapon_zm_pistol	2574.8838 1038.6556 72.2625	-0.162 36.019 87.848
weapon_zm_pistol	2559.0535 1024.6370 72.3951	0.371 36.989 89.879
weapon_zm_pistol	1683.9664 1456.6558 72.3223	-0.080 35.982 88.850
weapon_zm_pistol	1705.1788 1446.7925 72.3725	0.183 34.799 89.535
weapon_zm_pistol	1701.6267 1417.7300 72.3964	0.410 35.389 89.883
weapon_zm_pistol	1675.1147 1424.5353 72.3049	-0.104 36.004 88.558
weapon_zm_pistol	1682.5587 1439.5266 72.3049	-0.104 36.004 88.558
weapon_zm_pistol	1659.5531 1444.2349 72.3674	0.018 33.166 89.832
weapon_zm_pistol	1665.5471 1473.3641 72.3250	-0.077 35.982 88.894
weapon_zm_pistol	1710.8406 1475.5568 72.3147	-0.091 35.993 88.722
weapon_zm_pistol	1698.6819 1458.4977 72.2882	-0.127 36.013 88.278
item_ammo_pistol_ttt	1257.7671 1544.8425 72.3203	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	1269.7356 1542.5558 72.3746	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	1260.7236 1516.4806 72.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	1271.3473 1513.9333 72.4643	-0.030 -0.020 -0.009
item_ammo_pistol_ttt	1246.1080 1513.2529 72.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	1234.5210 1514.0298 72.4319	-0.058 -0.020 -0.018
item_ammo_pistol_ttt	1219.4749 1511.5226 72.4080	1.281 0.297 0.177
item_ammo_pistol_ttt	1221.2183 1531.4891 72.4653	-0.410 1.174 -0.077
item_ammo_pistol_ttt	2398.2520 1389.5767 72.3891	0.263 -0.084 0.194
item_ammo_pistol_ttt	2408.2246 1384.0510 72.4288	-0.735 0.253 -0.680
item_ammo_pistol_ttt	2418.1682 1383.5428 72.4311	-0.182 0.200 -0.298
item_ammo_pistol_ttt	2430.8743 1387.9611 72.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	2420.4963 1428.9447 72.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	2406.9468 1428.0298 72.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	2389.4253 1425.4153 72.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	526.2224 1958.2947 94.3384	1.829 0.472 0.005
item_ammo_pistol_ttt	526.1307 1933.3545 94.3574	1.476 1.097 0.019
item_ammo_pistol_ttt	526.2006 1901.8434 94.3210	0.096 0.111 0.000
item_ammo_pistol_ttt	514.3065 1864.6571 72.3307	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	515.4016 1842.5917 72.3903	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	501.2812 1860.3955 72.4136	-0.074 -0.020 -0.022
item_ammo_pistol_ttt	501.4034 1834.3650 72.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	3340.6265 -373.3015 96.4732	-0.846 -0.363 -0.090
item_ammo_pistol_ttt	3347.8254 -358.1293 97.4101	-19.166 25.425 0.515
item_ammo_pistol_ttt	3349.0369 -341.1323 96.4972	-0.845 11.549 0.282
item_ammo_pistol_ttt	3361.6699 -356.7605 97.0739	0.229 -0.409 -4.259
item_ammo_pistol_ttt	2554.2021 1045.8464 73.1857	15.424 -0.610 -0.002
item_ammo_pistol_ttt	2564.3755 1042.6384 73.4656	0.333 0.769 6.814
item_ammo_pistol_ttt	2556.1802 1011.1788 72.3708	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	2578.2722 1024.8481 72.4069	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	2596.4695 1040.5779 72.3499	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	1677.9337 1461.5664 72.4358	-0.055 -0.020 -0.017
item_ammo_pistol_ttt	1704.8130 1485.4712 72.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	1721.7513 1445.6001 75.3091	89.370 -159.262 -155.587
item_ammo_pistol_ttt	1663.2567 1441.1895 73.6512	-0.287 -1.544 8.328
item_ammo_pistol_ttt	1645.1544 1468.9290 72.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	1683.7205 1498.7415 72.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	1692.7021 1411.8079 72.4149	0.255 -0.099 0.218
item_ammo_pistol_ttt	1716.7427 1417.2794 75.3117	89.377 -158.942 -157.011
item_ammo_pistol_ttt	1428.4556 3177.2158 -127.5712	-0.061 -0.020 -0.018
item_ammo_pistol_ttt	1444.3827 3179.0354 -127.5444	-0.038 -0.020 -0.011
item_ammo_pistol_ttt	1457.7622 3169.7356 -127.6312	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	403.3712 683.2389 -101.9436	89.493 102.363 115.904
item_ammo_pistol_ttt	280.4542 755.3560 -101.6052	89.399 -159.807 -145.645
item_ammo_pistol_ttt	403.4321 790.0372 -101.8719	89.017 174.325 -171.142
item_ammo_pistol_ttt	2.8413 611.3696 -101.7723	89.738 63.363 76.805
item_ammo_pistol_ttt	-78.3318 690.2155 -101.9439	89.482 101.384 115.203
item_ammo_pistol_ttt	92.0968 783.6266 -101.8829	89.771 146.111 163.212
item_ammo_pistol_ttt	158.1859 352.8228 -101.6544	89.812 88.037 100.367
weapon_zm_revolver	1513.9889 41.7309 305.9079	2.565 -20.518 -83.446
weapon_zm_revolver	3364.0930 972.7081 83.8953	2.708 -20.126 -83.878
weapon_zm_revolver	3384.2019 964.6443 83.8923	2.739 -20.108 -83.760
weapon_zm_revolver	3375.7148 958.6420 83.9085	2.245 -22.686 -85.368
weapon_zm_revolver	1371.2745 1035.9792 112.2775	0.939 -19.982 -88.242
weapon_zm_revolver	843.8192 484.9744 249.5063	2.294 -18.025 -85.275
weapon_zm_revolver	-1284.4858 545.1704 77.8547	2.153 -18.881 -83.855
item_ammo_smg1_ttt	125.5784 541.6982 117.0908	0.185 -0.548 6.937
