# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_infini_b5
# Exported by: Arcadi NG
setting:	replacespawns 1
weapon_zm_pistol	-280.4900 806.0925 -1015.6382	0.407 36.654 89.171
weapon_zm_pistol	-37.9630 882.6529 -782.7812	0.012 35.131 88.515
weapon_zm_pistol	-81.8394 -706.2454 -1023.5919	0.739 -34.207 89.910
weapon_zm_pistol	-86.4546 -722.9179 -1023.6619	-0.111 -30.225 91.425
weapon_zm_pistol	-126.1786 910.4796 -1103.3956	0.018 35.159 87.932
weapon_zm_pistol	-377.0300 910.5413 -1151.6473	0.594 36.684 88.861
item_ammo_pistol_ttt	-927.9554 1115.4872 -1017.5625	-44.945 -8.985 -0.237
item_ammo_pistol_ttt	-923.1764 1145.1494 -1019.6339	-0.113 92.557 0.019
item_ammo_pistol_ttt	-944.1401 1145.8793 -1019.6339	-0.113 85.939 0.019
item_ammo_pistol_ttt	-865.1671 1147.4966 -1019.6339	-0.113 81.687 0.019
item_ammo_pistol_ttt	-844.9279 1147.2729 -1019.6339	-0.113 96.640 0.019
item_ammo_pistol_ttt	-824.5535 1149.1963 -1020.9979	-0.113 112.438 0.019
item_ammo_pistol_ttt	-902.7703 1147.7699 -1019.6339	-0.113 101.652 0.019
item_ammo_pistol_ttt	-240.5146 706.4921 -879.5191	-0.398 -0.508 0.013
item_ammo_pistol_ttt	-225.8874 718.3679 -876.6852	89.602 -151.060 -179.922
item_ammo_pistol_ttt	-229.1033 709.5519 -878.0971	-31.588 0.607 0.097
item_ammo_pistol_ttt	384.8427 976.2915 -879.5108	0.012 -16.317 -0.058
item_ammo_pistol_ttt	392.2118 980.8300 -870.7284	0.126 -43.460 -87.812
item_ammo_pistol_ttt	377.0724 979.8990 -879.5071	-0.019 -12.113 -0.044
item_ammo_pistol_ttt	-216.0507 -416.7435 -1023.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-223.0421 -414.9934 -1023.6199	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	-229.5658 -415.7685 -1023.6254	-0.109 -0.020 -0.033
item_ammo_pistol_ttt	767.5436 -259.2273 -1023.6293	-0.112 -8.552 -0.034
item_ammo_pistol_ttt	759.3954 -255.2483 -1023.6293	-0.112 -14.972 -0.034
item_ammo_pistol_ttt	751.0562 -249.9389 -1023.6293	-0.112 -38.458 -0.034
item_ammo_pistol_ttt	775.6835 -205.6468 -1023.6293	-0.112 -2.751 -0.034
item_ammo_pistol_ttt	766.4034 -202.9595 -1023.6293	-0.112 11.949 -0.034
item_ammo_pistol_ttt	753.7039 -199.9350 -1023.6293	-0.112 39.038 -0.034
item_ammo_pistol_ttt	738.3345 862.8903 -743.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	735.4068 883.7642 -743.6570	-0.136 25.410 -0.041
item_ammo_pistol_ttt	734.0669 841.0037 -743.6570	-0.136 -16.352 -0.041
item_ammo_pistol_ttt	724.8539 845.0220 -743.6570	-0.136 -14.296 -0.041
item_ammo_pistol_ttt	726.6071 865.8156 -743.6570	-0.136 8.429 -0.041
item_ammo_pistol_ttt	719.9960 885.2177 -743.6570	-0.136 26.226 -0.041
item_ammo_pistol_ttt	-275.1421 692.0518 -879.5191	-0.398 -143.983 0.013
item_ammo_pistol_ttt	-282.9308 682.6974 -879.5191	-0.398 -108.473 0.013
item_ammo_pistol_ttt	-287.0052 668.5850 -879.5191	-0.398 -75.864 0.013
item_ammo_pistol_ttt	-1338.3538 451.0306 -1019.6339	-0.113 -163.251 0.019
item_ammo_pistol_ttt	-1345.9492 450.9507 -1019.6339	-0.113 -161.843 0.019
item_ammo_pistol_ttt	-1356.1090 453.3294 -1019.6339	-0.113 -154.156 0.019
item_ammo_pistol_ttt	-1375.7864 399.7244 -986.6413	-0.113 89.403 0.019
item_ammo_pistol_ttt	-1395.9490 380.5157 -988.8127	-0.113 162.788 0.019
item_ammo_pistol_ttt	-1383.0432 386.7898 -969.0767	-0.113 133.276 0.019
item_ammo_pistol_ttt	-1300.6573 -310.9055 -1023.6339	-0.113 -179.190 0.019
item_ammo_pistol_ttt	-1303.9086 -331.4986 -1023.6339	-0.113 168.025 0.019
item_ammo_pistol_ttt	-1312.9996 -287.7363 -1023.6339	-0.113 -156.465 0.019
item_ammo_pistol_ttt	-1324.1353 -290.7453 -1023.5920	0.041 -151.798 -0.015
item_ammo_pistol_ttt	-1318.9451 -326.3809 -1023.6285	-0.107 166.122 -0.057
item_ammo_pistol_ttt	-1316.2518 -307.7600 -1023.5665	1.334 -171.460 -0.008
item_ammo_pistol_ttt	-333.2844 962.0698 -1151.5759	-0.410 0.241 -0.564
item_ammo_pistol_ttt	-340.6248 961.1454 -1151.6617	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	-350.9184 961.0006 -1151.6852	-0.161 -0.017 -0.049
item_ammo_pistol_ttt	-357.6950 961.4717 -1151.6770	-0.154 -0.018 -0.047
item_ammo_pistol_ttt	-365.9651 962.3245 -1151.6642	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-263.4439 808.3397 -1015.6642	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-254.7379 807.2893 -1015.6436	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-246.5443 810.0978 -1015.6667	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-38.7770 898.0241 -782.7118	0.023 0.044 -0.007
item_ammo_pistol_ttt	-45.2832 902.9604 -782.6675	0.017 0.092 -0.002
item_ammo_pistol_ttt	-51.3221 901.4861 -782.6644	0.807 -0.051 -0.132
item_ammo_pistol_ttt	-59.8325 -732.6815 -1023.6033	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-67.1909 -731.9998 -1023.6524	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-73.8770 -730.9579 -1023.5247	0.496 0.498 0.008
