# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_magma_v2
a# Exported by: [CM] TC224
setting:	replacespawns 0
weapon_ttt_awp	-509.521790 1978.099976 122.445755	0.849 12.014 113.480
weapon_ttt_awp	978.165710 1337.775879 267.488342	0.358 -8.032 -85.125
weapon_ttt_smokegrenade	-201.884995 -382.282013 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-249.369995 78.702698 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	12.040100 267.335999 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-137.675995 885.598999 5.734550	0.000 0.000 0.000
weapon_ttt_smokegrenade	-922.465027 135.516006 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1320.599976 -233.824005 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-1225.040039 -674.424988 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-732.508972 760.807007 -250.264999	0.000 0.000 0.000
weapon_ttt_smokegrenade	-331.946014 875.179016 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-728.669006 1919.020020 5.734560	0.000 0.000 0.000
weapon_ttt_smokegrenade	-385.506989 1924.449951 5.734550	0.000 0.000 0.000
weapon_ttt_smokegrenade	-604.257996 2054.649902 136.522995	0.000 0.000 0.000
weapon_ttt_smokegrenade	-60.853001 1184.020020 5.734560	0.000 0.000 0.000
weapon_ttt_dualelite	-419.665070 223.390167 -0.026657	2.056 0.162 -0.391
weapon_ttt_dualelite	-103.695313 207.574982 0.067309	1.870 0.145 -0.183
weapon_ttt_dualelite	-167.571503 1204.336670 -0.016771	2.048 0.150 -0.037
weapon_ttt_dualelite	884.731384 -164.958221 -0.007678	2.029 0.147 -0.041
weapon_ttt_dualelite	894.787170 1102.333130 199.988098	2.051 0.149 -0.049
weapon_ttt_dualelite	-902.975281 98.086990 -0.002609	2.008 0.151 -0.338
weapon_ttt_dualelite	-1246.970947 -631.590759 -256.021332	2.072 0.152 -0.046
weapon_ttt_dualelite	-736.035828 -423.166779 -255.950851	1.918 0.141 -0.071
item_ammo_smg1_ttt	-764.000000 -640.375977 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-774.922974 -640.317017 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-786.375977 -640.000000 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-1026.000000 -734.000000 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-1038.000000 -734.000000 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-1050.000000 -734.000000 -254.654999	0.000 0.000 0.000
item_ammo_smg1_ttt	-995.908020 1228.630005 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-999.098999 1275.079956 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-982.794006 1274.640015 1.344730	0.000 0.000 0.000
item_ammo_smg1_ttt	-670.956970 2023.660034 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-144.643005 2002.550049 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	663.702026 1173.969971 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	741.775024 776.156006 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	395.968994 -20.635700 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-714.927002 -292.467987 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-924.362000 94.170197 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-79.459602 875.273010 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-86.556503 846.927002 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-99.353203 863.783997 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	1130.430054 1331.459961 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	1131.479980 1308.270020 1.344730	0.000 0.000 0.000
item_ammo_smg1_ttt	1111.280029 1323.020020 1.344720	0.000 0.000 0.000
item_ammo_smg1_ttt	-1353.757813 -273.704224 -255.476425	-0.409 0.510 0.001
item_ammo_smg1_ttt	-1363.102783 -279.650024 -249.999344	-88.670 7.330 -3.304
item_ammo_smg1_ttt	-1383.601196 -260.940247 -255.485794	-0.428 2.313 -0.153
item_ammo_smg1_ttt	-1376.883423 -254.595535 -246.400650	0.234 -78.946 -87.589
item_ammo_smg1_ttt	-1317.422607 -597.128113 -255.600723	0.153 -0.005 0.090
item_ammo_smg1_ttt	-1343.121948 -586.645508 -255.523987	0.558 -0.014 0.248
item_ammo_smg1_ttt	-1306.528931 -563.134766 -255.444397	-0.036 2.360 0.028
item_ammo_smg1_ttt	-988.315308 320.825592 -255.567413	0.852 -0.001 0.559
item_ammo_smg1_ttt	-1010.765259 324.121887 -255.573502	0.592 -0.003 0.385
item_ammo_smg1_ttt	-1033.107910 323.153015 -255.573502	0.599 -0.003 0.390
item_ammo_smg1_ttt	-1659.270020 437.030945 -220.519119	-0.491 -0.840 -0.098
item_ammo_smg1_ttt	-1647.670288 419.805542 -220.511261	-0.319 -2.209 0.012
item_ammo_smg1_ttt	1093.149658 1315.887207 200.505234	0.595 -0.010 -0.456
item_ammo_smg1_ttt	1106.687378 1315.799561 200.437042	-1.109 -0.002 0.731
item_ammo_smg1_ttt	-134.821960 1819.826172 0.407889	-0.081 -0.043 -0.039
item_ammo_smg1_ttt	-96.220390 -215.328781 0.519495	-0.232 0.015 -0.204
item_ammo_smg1_ttt	335.274689 -1470.305176 0.420151	-0.417 0.004 0.268
item_ammo_smg1_ttt	368.257324 -1466.294067 0.475461	-0.562 0.014 0.252
item_ammo_smg1_ttt	339.780701 -1439.699463 0.506434	0.529 -0.010 -0.413
weapon_ttt_m16	-352.903992 -281.855011 141.682999	0.000 0.000 0.000
weapon_ttt_m16	-481.132996 259.114990 5.682850	0.000 0.000 0.000
weapon_ttt_m16	921.403015 -225.848999 5.682850	0.000 0.000 0.000
weapon_ttt_m16	747.343994 760.500000 5.682850	0.000 0.000 0.000
weapon_ttt_m16	-753.469971 2011.550049 5.682840	0.000 0.000 0.000
weapon_ttt_m16	-62.348801 942.645996 205.682999	0.000 0.000 0.000
weapon_ttt_m16	-927.690002 -885.210999 5.682850	0.000 0.000 0.000
weapon_ttt_m16	662.888000 -998.739990 5.682850	0.000 0.000 0.000
weapon_ttt_m16	372.408997 -723.200989 -250.317001	0.000 0.000 0.000
weapon_ttt_m16	-526.474976 -606.146973 -250.317001	0.000 0.000 0.000
weapon_ttt_m16	-1606.739990 -10.780800 -250.317001	0.000 0.000 0.000
weapon_ttt_m16	-1091.640015 -615.560974 -250.317001	0.000 0.000 0.000
weapon_ttt_galil	-502.715454 367.605469 -254.824158	1.149 -13.082 84.870
weapon_ttt_galil	1118.140259 -94.010262 1.092035	0.644 -12.781 85.326
weapon_ttt_galil	-113.583839 1836.910278 1.167782	0.896 -12.616 85.508
weapon_ttt_galil	-83.836617 -192.053055 1.197871	1.173 -13.082 85.066
weapon_ttt_galil	339.832001 -1488.926514 1.067641	0.557 -12.811 85.282
item_box_buckshot_ttt	-873.000000 -640.000000 -254.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-881.000000 -640.000000 -254.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-889.000000 -640.000000 -254.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-897.000000 -640.000000 -254.705994	0.000 0.000 0.000
item_box_buckshot_ttt	-905.000000 -640.000000 -254.705994	0.000 0.000 0.000
item_box_buckshot_ttt	1112.400024 -146.895996 1.293870	0.000 0.000 0.000
item_box_buckshot_ttt	1101.000000 -145.824997 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	412.114990 -18.604000 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	755.336975 734.523010 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-87.943901 1608.349976 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-303.890015 1161.670044 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-947.518982 1256.760010 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-960.288025 1254.530029 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-975.471985 1252.979980 1.293880	0.000 0.000 0.000
item_box_buckshot_ttt	-997.020020 1252.420044 1.293870	0.000 0.000 0.000
item_ammo_357_ttt	-711.000000 -734.000000 -254.723999	0.000 0.000 0.000
item_ammo_357_ttt	-723.000000 -734.000000 -254.723999	0.000 0.000 0.000
item_ammo_357_ttt	-735.000000 -734.000000 -254.723999	0.000 0.000 0.000
item_ammo_357_ttt	-460.858002 2027.180054 127.100998	0.000 0.000 10.000
item_ammo_357_ttt	-469.997009 2029.819946 127.944000	0.000 0.000 10.000
item_ammo_357_ttt	-479.299011 2030.000000 128.000000	0.000 0.000 10.000
item_ammo_357_ttt	1043.709961 1323.742432 200.371506	0.459 0.059 0.039
item_ammo_357_ttt	1043.989990 1337.776001 200.340622	0.453 0.066 0.051
item_ammo_357_ttt	1056.870728 1331.194580 200.307632	0.446 0.081 0.064
item_ammo_revolver_ttt	-717.000000 -734.000000 -254.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	-729.000000 -734.000000 -254.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	-741.000000 -734.000000 -254.723999	0.000 0.000 0.000
ttt_random_ammo	295.506989 -1398.800049 1.000600	0.000 0.000 0.000
ttt_random_ammo	-840.341003 -1430.290039 1.000600	0.000 0.000 0.000
ttt_random_ammo	-702.046021 -1421.130005 1.000600	0.000 0.000 0.000
ttt_random_ammo	-614.132019 -1010.869995 3.000600	0.000 0.000 0.000
ttt_random_ammo	-615.432983 -1356.989990 3.000600	0.000 0.000 0.000
ttt_random_ammo	-615.518005 -1170.699951 3.000600	0.000 0.000 0.000
ttt_random_ammo	-534.802002 -618.421021 1.000610	0.000 0.000 0.000
ttt_random_ammo	-695.325012 -215.238998 1.000600	0.000 0.000 0.000
ttt_random_ammo	-751.482971 219.507996 1.000600	0.000 0.000 0.000
ttt_random_ammo	-240.477997 114.348000 1.000600	0.000 0.000 0.000
ttt_random_ammo	-322.345001 113.983002 1.000600	0.000 0.000 0.000
ttt_random_ammo	-431.911011 113.031998 1.000600	0.000 0.000 0.000
ttt_random_ammo	-229.317993 -93.871902 1.000590	0.000 0.000 0.000
ttt_random_ammo	-338.042999 -94.066200 1.000600	0.000 0.000 0.000
ttt_random_ammo	-432.697998 -88.108704 1.000600	0.000 0.000 0.000
ttt_random_ammo	-271.463013 602.286987 1.000600	0.000 0.000 0.000
ttt_random_ammo	-335.535004 636.224976 1.000600	0.000 0.000 0.000
ttt_random_ammo	-303.122009 883.883972 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-303.170013 878.116028 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-303.873993 870.622986 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-353.966003 884.364014 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-114.855003 887.840027 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-234.641006 615.627991 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-316.023987 586.447021 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-347.592987 640.208984 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-309.368988 26.063200 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-307.248993 74.626198 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-223.860992 -384.795990 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-222.748001 -399.347992 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-225.511002 -411.048004 -254.998993	0.000 0.000 0.000
ttt_random_ammo	-224.138000 -426.100006 -254.998993	0.000 0.000 0.000
ttt_random_ammo	224.472000 -596.851013 -254.998993	0.000 0.000 0.000
ttt_random_ammo	255.345001 -597.828979 -254.998993	0.000 0.000 0.000
ttt_random_ammo	328.227997 -603.835022 -126.999001	0.000 0.000 0.000
ttt_random_ammo	324.394012 -613.742004 -126.999001	0.000 0.000 0.000
ttt_random_ammo	847.931030 -855.627991 1.000600	0.000 0.000 0.000
ttt_random_ammo	776.530029 -1367.270020 1.000600	0.000 0.000 0.000
ttt_random_ammo	66.799797 -1438.880005 1.000600	0.000 0.000 0.000
ttt_random_ammo	-873.520020 -927.598999 1.000590	0.000 0.000 0.000
ttt_random_ammo	-499.949005 -824.193970 1.000600	0.000 0.000 0.000
ttt_random_ammo	-805.937988 1376.500000 1.000610	0.000 0.000 0.000
ttt_random_ammo	-756.556030 1922.819946 1.000600	0.000 0.000 0.000
ttt_random_ammo	-500.256989 1887.800049 -0.999400	0.000 0.000 0.000
ttt_random_ammo	-195.878006 1176.810059 1.000600	0.000 0.000 0.000
ttt_random_ammo	430.868988 1177.900024 1.000600	0.000 0.000 0.000
ttt_random_ammo	394.000000 885.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 876.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 866.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 857.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 848.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 839.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 829.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	394.000000 820.000000 201.001007	0.000 0.000 0.000
ttt_random_ammo	399.000000 464.000000 1.000600	0.000 0.000 0.000
ttt_random_ammo	398.000000 452.000000 1.000600	0.000 0.000 0.000
ttt_random_ammo	398.000000 438.000000 1.000620	0.000 0.000 0.000
ttt_random_ammo	398.000000 425.000000 1.000620	0.000 0.000 0.000
ttt_random_ammo	398.795013 409.835999 1.000600	0.000 0.000 0.000
ttt_random_ammo	861.580017 857.445007 201.001007	0.000 0.000 0.000
ttt_random_ammo	862.591980 872.916016 201.001007	0.000 0.000 0.000
ttt_random_ammo	860.103027 885.539978 201.001007	0.000 0.000 0.000
ttt_random_ammo	-242.162003 907.612000 201.001007	0.000 0.000 0.000
ttt_random_ammo	51.293598 850.950989 201.001007	0.000 0.000 0.000
ttt_random_ammo	50.386902 840.427002 201.001007	0.000 0.000 0.000
ttt_random_ammo	51.296600 825.981995 201.001007	0.000 0.000 0.000
ttt_random_ammo	-1.355320 664.403992 201.001007	0.000 0.000 0.000
ttt_random_ammo	-2.607080 652.817017 201.001007	0.000 0.000 0.000
ttt_random_ammo	-4.093200 674.406006 201.001007	0.000 0.000 0.000
ttt_random_ammo	-287.804993 696.882019 201.001007	0.000 0.000 0.000
ttt_random_ammo	-849.013000 285.782990 1.000590	0.000 0.000 0.000
ttt_random_ammo	-851.057983 258.997009 1.000600	0.000 0.000 0.000
ttt_random_ammo	-848.908020 224.645004 1.000600	0.000 0.000 0.000
ttt_random_ammo	-1568.609985 -460.631012 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1658.900024 -462.000000 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1566.520020 -352.915009 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1662.089966 -353.299988 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1657.079956 -258.208008 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1561.359985 -258.147003 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1569.989990 -159.283997 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-1657.099976 -159.442001 -225.000000	0.000 0.000 0.000
ttt_random_ammo	-677.000000 546.723999 -229.000000	0.000 0.000 0.000
ttt_random_ammo	-675.791016 505.566010 -229.000000	0.000 0.000 0.000
ttt_random_ammo	-675.932007 469.841003 -229.000000	0.000 0.000 0.000
ttt_random_ammo	-675.984009 515.541016 -229.000000	0.000 0.000 0.000
ttt_random_ammo	-675.708984 460.092987 -229.000000	0.000 0.000 0.000
ttt_random_ammo	-674.513977 557.676025 -229.000000	0.000 0.000 0.000
weapon_zm_rifle	-71.915703 -280.826996 2.957510	0.000 0.000 0.000
weapon_zm_rifle	-219.225006 591.289978 -253.042007	0.000 0.000 0.000
weapon_zm_rifle	-114.404999 17.968300 -253.042007	0.000 0.000 0.000
weapon_zm_rifle	-1609.310059 -461.000000 -223.000000	0.000 0.000 0.000
weapon_zm_rifle	-457.299988 1976.000000 121.000000	0.000 0.000 -80.000
weapon_zm_mac10	-1448.069946 497.045990 -250.529007	0.000 0.000 0.000
weapon_zm_mac10	-697.900024 588.275024 -250.529007	0.000 0.000 0.000
weapon_zm_mac10	-493.819000 92.442398 -250.529007	0.000 0.000 0.000
weapon_zm_mac10	-182.893005 824.502014 -250.529007	0.000 0.000 0.000
weapon_zm_mac10	-60.004902 866.247986 5.471190	0.000 0.000 0.000
weapon_zm_mac10	-58.514099 842.991028 205.470993	0.000 0.000 0.000
weapon_zm_mac10	1056.390015 1293.420044 205.470993	0.000 0.000 0.000
weapon_zm_mac10	33.340401 84.645203 5.471190	0.000 0.000 0.000
weapon_zm_mac10	-969.307983 1275.900024 5.471190	0.000 0.000 0.000
weapon_zm_mac10	625.851013 1168.579956 5.471180	0.000 0.000 0.000
weapon_zm_mac10	-768.151978 -613.481018 -250.529007	0.000 0.000 0.000
item_ammo_pistol_ttt	0.361324 -280.363007 137.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-576.513977 -276.584015 137.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-963.567017 -883.939026 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-977.424011 -883.169006 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	317.303009 -998.304016 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	306.402008 -1000.599976 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	336.475006 -992.862976 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	562.539978 -1114.319946 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	563.992004 -1089.280029 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	550.632019 -1102.630005 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	343.761993 -651.343018 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	349.770996 -651.999023 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	359.750000 -652.033020 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	421.709991 -661.703979 -126.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	411.230988 -662.534973 -126.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	402.307007 -664.072021 -126.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-580.861023 -646.922974 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-927.322998 -538.495972 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-918.822998 -538.481018 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-910.107971 -534.543030 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1596.869995 -351.467010 -224.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-1588.199951 -352.000000 -224.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-1328.000000 -278.809998 -220.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-1333.630005 -277.226990 -220.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-1070.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1076.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1082.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1088.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1094.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1106.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-1100.000000 -640.000000 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	-930.453979 1049.130005 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	31.556700 762.698975 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	45.648499 763.689026 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	51.896198 663.142029 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	38.088799 663.572998 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	21.417700 662.710999 201.279999	0.000 0.000 0.000
item_ammo_pistol_ttt	-154.636002 1172.000000 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-141.018997 1172.099976 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-127.732002 1171.420044 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	-609.013000 2032.979980 1.280150	0.000 0.000 0.000
item_ammo_pistol_ttt	-633.551025 2006.229980 125.485001	0.000 0.000 0.000
item_ammo_pistol_ttt	-609.252991 1892.530029 -0.719868	0.000 0.000 0.000
item_ammo_pistol_ttt	-413.334991 741.179993 -254.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	880.523987 -230.376007 1.280140	0.000 0.000 0.000
item_ammo_pistol_ttt	1073.750000 -177.925003 1.280140	0.000 0.000 0.000
