# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_minecraft_haven
# Exported by: Badger
setting:	replacespawns 1
weapon_ttt_smokegrenade	2059.070068 2178.520020 404.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	2061.530029 1942.229980 404.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	1541.739990 661.080017 364.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	1060.800049 300.820007 524.734009	0.000 90.000 0.000
weapon_ttt_smokegrenade	452.480011 -2339.479980 284.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	-656.299988 -1540.969971 324.734985	0.000 90.000 0.000
weapon_ttt_smokegrenade	1596.108032 2032.475952 360.186310	-1.593 -1.475 -0.871
weapon_ttt_smokegrenade	1590.386963 2035.141235 360.120239	-2.122 -1.419 -1.810
weapon_ttt_smokegrenade	1591.430542 2026.563354 361.789032	-47.508 41.396 -87.729
ttt_random_weapon	397.890015 -1860.069946 729.372986	0.000 0.000 0.000
ttt_random_weapon	-1076.920044 -901.859985 529.372986	0.000 0.000 0.000
ttt_random_weapon	-957.520020 -898.599976 529.372986	0.000 0.000 0.000
ttt_random_weapon	-1296.650024 -358.429993 689.372986	0.000 0.000 0.000
ttt_random_weapon	-1200.969971 179.910004 689.372986	0.000 0.000 0.000
ttt_random_weapon	-1298.319946 -0.970210 689.372986	0.000 0.000 0.000
ttt_random_weapon	-567.219971 -1142.329956 329.372986	0.000 0.000 0.000
ttt_random_weapon	1476.660034 -1381.869995 329.372986	0.000 0.000 0.000
ttt_random_weapon	-262.410004 -498.079987 809.372986	0.000 0.000 0.000
ttt_random_weapon	360.781006 420.415985 729.372986	0.000 0.000 0.000
ttt_random_weapon	1219.170044 -1139.260010 569.372986	0.000 0.000 0.000
ttt_random_weapon	1020.469971 -1019.679993 649.372986	0.000 0.000 0.000
ttt_random_weapon	1099.209961 -779.455017 529.372986	0.000 0.000 0.000
ttt_random_weapon	356.670990 -1910.060059 849.372986	0.000 0.000 0.000
ttt_random_weapon	-939.403015 222.087997 809.372986	0.000 0.000 0.000
ttt_random_weapon	-1016.140015 -786.672974 689.372986	0.000 0.000 0.000
ttt_random_weapon	-243.035004 -942.648987 729.372986	0.000 0.000 0.000
ttt_random_weapon	1137.359985 1777.489990 289.372986	0.000 0.000 0.000
ttt_random_weapon	601.775024 767.130005 289.372986	0.000 0.000 0.000
ttt_random_weapon	-105.103996 -1941.849976 329.372986	0.000 0.000 0.000
ttt_random_weapon	-1478.780029 -141.785004 369.372986	0.000 0.000 0.000
ttt_random_weapon	2000.989990 1942.500000 409.372986	0.000 0.000 0.000
ttt_random_weapon	1995.459961 2176.820068 409.372986	0.000 0.000 0.000
ttt_random_weapon	-82.154297 -700.114990 1689.369995	0.000 0.000 0.000
ttt_random_weapon	1235.599976 299.114990 649.372986	0.000 0.000 0.000
ttt_random_weapon	1286.527100 985.481079 281.231232	1.512 5.725 -93.472
ttt_random_weapon	1228.754272 841.972412 281.179260	2.065 5.700 -92.335
item_ammo_smg1_ttt	1909.959106 2059.366455 520.483032	-0.296 -0.745 -0.166
item_ammo_smg1_ttt	1922.216919 2058.433350 520.504517	0.482 -0.046 0.723
item_ammo_smg1_ttt	1912.578613 2115.770508 520.500793	-0.826 0.011 -0.618
item_ammo_smg1_ttt	1888.328125 2124.767334 520.501648	-0.812 0.012 -0.610
item_ammo_smg1_ttt	1298.455811 2014.293457 401.362793	-4.227 -0.179 3.416
item_ammo_smg1_ttt	1288.443481 2038.958740 400.430359	-0.079 0.072 0.077
item_ammo_smg1_ttt	1576.082275 2090.208740 360.524414	0.301 -0.265 0.052
item_ammo_smg1_ttt	1575.562256 2090.077637 374.298767	0.356 -0.001 -0.049
weapon_ttt_m16	20.000000 1196.000000 284.683014	0.000 90.000 0.000
weapon_ttt_m16	1668.000000 -780.000000 284.683014	0.000 0.000 0.000
weapon_ttt_m16	-293.910004 99.934700 1164.680054	0.000 0.000 0.000
weapon_ttt_m16	1459.972534 2023.284790 400.852966	2.260 -5.448 84.012
item_box_buckshot_ttt	1902.793579 2027.066406 520.440796	-0.561 -0.007 0.500
item_box_buckshot_ttt	1890.858521 2025.716309 520.377136	0.470 0.018 -0.292
item_box_buckshot_ttt	1912.452026 2012.430176 520.470642	-0.330 -0.006 0.293
item_box_buckshot_ttt	1879.667603 2107.948975 520.377991	-0.126 -0.022 0.016
item_box_buckshot_ttt	1901.992676 2106.599365 520.413574	-0.782 -0.006 0.693
item_box_buckshot_ttt	1891.463745 2075.634766 520.398987	-0.924 -0.010 0.817
item_box_buckshot_ttt	1297.166016 2086.891602 400.444641	0.611 -0.009 0.503
item_box_buckshot_ttt	1307.637207 2090.193359 400.409149	0.945 -0.006 0.766
ttt_random_ammo	1005.320007 2076.270020 276.001007	0.000 90.000 0.000
ttt_random_ammo	1069.670044 2049.620117 276.001007	0.000 90.000 0.000
ttt_random_ammo	1241.989990 2069.129883 276.001007	0.000 90.000 0.000
ttt_random_ammo	1282.959961 2011.390015 276.001007	0.000 90.000 0.000
ttt_random_ammo	1432.020020 2100.189941 276.001007	0.000 90.000 0.000
ttt_random_ammo	1547.579956 2013.900024 276.001007	0.000 90.000 0.000
ttt_random_ammo	1698.709961 2100.909912 276.001007	0.000 90.000 0.000
ttt_random_ammo	1787.099976 2022.280029 276.001007	0.000 90.000 0.000
ttt_random_ammo	1857.040039 2090.750000 276.001007	0.000 90.000 0.000
ttt_random_ammo	1944.449951 2046.150024 276.001007	0.000 90.000 0.000
ttt_random_ammo	1439.719971 1943.689941 280.001007	0.000 90.000 0.000
ttt_random_ammo	1939.319946 1940.599976 280.001007	0.000 90.000 0.000
ttt_random_ammo	1206.800049 2181.280029 280.001007	0.000 90.000 0.000
ttt_random_ammo	-476.899994 925.289978 280.001007	0.000 0.000 0.000
ttt_random_ammo	614.010010 747.289978 280.001007	0.000 0.000 0.000
ttt_random_ammo	-366.299988 -2085.750000 280.001007	0.000 0.000 0.000
ttt_random_ammo	-1503.079956 539.020020 280.001007	0.000 0.000 0.000
ttt_random_ammo	-77.250000 1673.199951 280.001007	0.000 0.000 0.000
ttt_random_ammo	-101.410004 -378.720001 1680.000000	0.000 0.000 0.000
ttt_random_ammo	1579.229980 1740.630005 280.001007	0.000 90.000 0.000
ttt_random_ammo	1659.650024 1818.849976 300.001007	0.000 90.000 0.000
ttt_random_ammo	1619.359985 1541.650024 280.001007	0.000 90.000 0.000
ttt_random_ammo	1501.969971 1463.589966 280.001007	0.000 90.000 0.000
ttt_random_ammo	982.929993 1740.760010 280.001007	0.000 90.000 0.000
ttt_random_ammo	863.400024 1815.550049 280.001007	0.000 90.000 0.000
ttt_random_ammo	-92.790001 1655.810059 280.001007	0.000 0.000 0.000
ttt_random_ammo	-72.528801 1634.280029 280.001007	0.000 0.000 0.000
ttt_random_ammo	-91.343002 1612.030029 280.001007	0.000 0.000 0.000
ttt_random_ammo	-75.867203 1591.709961 280.001007	0.000 0.000 0.000
ttt_random_ammo	-118.942001 1674.420044 280.001007	0.000 0.000 0.000
ttt_random_ammo	-580.375977 -219.095993 1040.000000	0.000 90.000 0.000
ttt_random_ammo	1106.910034 1488.099976 276.001007	0.000 90.000 0.000
ttt_random_ammo	1428.030029 1297.829956 276.001007	0.000 90.000 0.000
ttt_random_ammo	1417.010010 1777.650024 280.001007	0.000 90.000 0.000
ttt_random_ammo	851.711975 1822.099976 280.001007	0.000 90.000 0.000
ttt_random_ammo	1257.969971 1942.670044 280.001007	0.000 90.000 0.000
ttt_random_ammo	1490.520020 2074.850098 276.001007	0.000 90.000 0.000
ttt_random_ammo	1855.670044 2049.919922 276.001007	0.000 90.000 0.000
ttt_random_ammo	1320.160034 2099.879883 276.001007	0.000 90.000 0.000
ttt_random_ammo	21.405701 -707.390015 1200.000000	0.000 0.000 0.000
ttt_random_ammo	1292.782349 963.035156 280.393280	0.668 0.006 0.761
ttt_random_ammo	1277.073486 964.359070 280.369141	0.085 0.000 0.040
ttt_random_ammo	1210.889893 818.421326 280.342255	0.046 0.000 -0.021
ttt_random_ammo	1191.902954 826.225769 280.423645	1.349 0.031 1.615
weapon_zm_rifle	1568.000000 2052.000000 921.958008	0.000 90.000 0.000
weapon_zm_rifle	-787.500000 1591.300049 321.958008	0.000 90.000 0.000
weapon_zm_rifle	-105.150002 -690.010010 1201.959961	0.000 90.000 0.000
weapon_zm_rifle	140.507004 -315.440002 2361.959961	0.000 90.000 0.000
weapon_zm_rifle	1454.437500 2099.863525 401.251251	-0.090 -6.814 -89.487
weapon_zm_mac10	488.000000 2052.000000 429.372986	0.000 0.000 0.000
weapon_zm_mac10	1493.760010 661.390015 364.471008	0.000 0.000 0.000
weapon_zm_mac10	992.059998 297.790009 524.471008	0.000 0.000 0.000
weapon_zm_mac10	553.559998 -1918.410034 684.471008	0.000 0.000 0.000
weapon_zm_mac10	1930.556152 2078.866699 521.206299	-0.134 -50.627 -88.289
weapon_zm_mac10	1924.119263 2111.608154 521.216919	-0.130 -50.622 -88.361
weapon_zm_mac10	1300.301392 2025.154297 401.285767	-0.355 -54.261 -88.308
weapon_zm_mac10	1588.104492 2096.295166 361.296539	0.286 -45.319 -88.586
ttt_playerspawn	2042.962769 1992.485718 520.503540	0.071 -176.287 0.085
ttt_playerspawn	2039.805420 2063.968018 520.543213	0.090 -180.000 0.090
ttt_playerspawn	2037.466064 2113.717285 521.218872	0.090 -160.942 0.090
ttt_playerspawn	2000.208130 2175.035156 520.692200	0.079 -78.936 0.081
ttt_playerspawn	1940.093384 2174.269043 520.527649	-0.105 -89.908 0.125
ttt_playerspawn	1992.579834 1941.338135 520.550476	-0.081 90.082 -0.076
ttt_playerspawn	1929.859375 1946.737793 520.562744	0.059 135.000 -0.059
ttt_playerspawn	1955.196655 2129.174072 360.515076	0.248 -42.160 -0.233
ttt_playerspawn	1953.084961 1993.524170 360.542175	-0.223 148.666 0.172
ttt_playerspawn	2083.908936 1999.206909 360.506012	0.028 -175.956 -0.327
ttt_playerspawn	2077.901855 2118.376709 360.494354	-0.036 -90.138 -0.054
ttt_playerspawn	1825.176880 2163.919678 361.218872	0.090 -72.203 0.090
ttt_playerspawn	1830.525024 1939.723755 361.218872	0.090 171.637 0.090
ttt_playerspawn	1726.964600 2151.264648 361.218872	0.090 176.670 0.090
ttt_playerspawn	1731.327271 2008.257690 361.218872	0.090 161.407 0.090
ttt_playerspawn	1582.201904 2186.077393 361.218872	0.090 -121.455 0.090
ttt_playerspawn	1563.689331 1980.166626 361.218872	0.090 -149.670 0.090
ttt_playerspawn	1444.945923 1968.205322 361.218842	0.090 -174.544 0.090
ttt_playerspawn	1477.947266 2168.067627 361.218872	0.090 -118.650 0.090
ttt_playerspawn	1371.778442 2155.148926 361.218872	0.090 -177.225 0.090
ttt_playerspawn	1378.742798 1954.037720 361.218872	0.090 174.690 0.090
ttt_playerspawn	1242.716797 2167.307129 361.218903	0.090 117.105 0.090
ttt_playerspawn	1244.010010 1942.143799 361.218872	0.090 139.792 0.090
ttt_playerspawn	1167.338989 2158.494141 361.218872	0.090 138.885 0.090
ttt_playerspawn	1145.180176 1953.002808 361.218872	0.090 -160.973 0.090
ttt_playerspawn	1040.258179 2115.344482 361.218872	0.090 -152.888 0.090
ttt_playerspawn	1014.158142 1987.510864 361.218872	0.090 -170.873 0.090
ttt_playerspawn	956.534119 2075.922607 361.218872	0.090 -160.478 0.090
ttt_playerspawn	876.172363 2050.301270 361.218872	0.090 160.582 0.090
ttt_playerspawn	1015.683350 2052.310303 361.218872	0.090 156.375 0.090
ttt_playerspawn	93.260490 -137.519562 2320.577148	0.002 -179.869 0.074
item_ammo_357_ttt	1580.000000 2048.000000 920.276001	0.000 0.000 0.000
item_ammo_357_ttt	1580.000000 2072.000000 920.276001	0.000 0.000 0.000
item_ammo_357_ttt	-775.500000 1611.300049 320.276001	0.000 0.000 0.000
item_ammo_357_ttt	-775.500000 1587.300049 320.276001	0.000 0.000 0.000
item_ammo_357_ttt	-93.150002 -670.010010 1200.280029	0.000 0.000 0.000
item_ammo_357_ttt	-93.150002 -694.010010 1200.280029	0.000 0.000 0.000
item_ammo_357_ttt	1465.225342 2087.430176 400.378693	0.460 0.058 0.036
item_ammo_357_ttt	1451.988037 2089.730713 400.312469	0.447 0.075 0.062
item_ammo_pistol_ttt	1608.892212 2090.604736 400.366821	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	1631.175171 2094.533691 400.345306	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	1470.433350 2032.080078 400.464294	0.699 -0.037 0.029
item_ammo_pistol_ttt	1455.948120 2033.960938 400.468811	-0.135 0.035 -0.151
weapon_zm_molotov	-99.779999 940.130005 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-298.549988 902.479980 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-581.530029 779.729980 284.734985	0.000 0.000 0.000
weapon_zm_molotov	-100.230003 420.880005 684.734009	0.000 0.000 0.000
weapon_zm_molotov	-463.079987 441.529999 684.734009	0.000 0.000 0.000
weapon_zm_molotov	-18.620100 -49.009800 1124.729980	0.000 0.000 0.000
weapon_zm_molotov	-18.799801 -302.470001 1644.729980	0.000 0.000 0.000
weapon_zm_molotov	20.730000 -343.369995 1644.729980	0.000 0.000 0.000
weapon_zm_molotov	-136.850006 -657.169983 764.734009	0.000 0.000 0.000
weapon_zm_molotov	-265.489990 -262.989990 764.734009	0.000 0.000 0.000
weapon_zm_molotov	580.840027 -498.399994 1484.729980	0.000 0.000 0.000
weapon_zm_molotov	-781.150024 -1457.839966 404.734009	0.000 0.000 0.000
weapon_zm_molotov	140.968002 -336.299011 2364.729980	0.000 0.000 0.000
weapon_zm_molotov	100.003998 -339.173004 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	182.593994 -218.123993 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	260.748993 -379.250000 2404.729980	0.000 0.000 0.000
weapon_zm_molotov	298.622986 -300.694000 2484.729980	0.000 0.000 0.000
weapon_zm_molotov	619.640015 -1021.250000 924.734009	0.000 0.000 0.000
weapon_zm_molotov	1113.993652 2033.772949 360.194031	-1.311 -1.491 -0.717
weapon_zm_molotov	1114.181763 2027.142578 360.113037	-1.696 -1.023 -1.360
weapon_zm_molotov	1106.626709 2031.086914 360.190643	-1.434 -1.484 -0.784
weapon_ttt_confgrenade	1538.170044 651.880005 363.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	1482.160034 687.229980 323.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	1057.250000 294.670013 523.487000	0.000 0.000 0.000
weapon_ttt_confgrenade	1262.609985 -1105.369995 443.487000	0.000 0.000 0.000
