# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_westwood_v4
# Exported by: C.Mong
setting:	replacespawns 0
weapon_zm_pistol	-73.0075 1471.3180 -107.7486	0.760 -38.389 -98.707
weapon_zm_pistol	791.1519 827.0099 -89.8176	-0.017 -32.830 -87.377
weapon_zm_pistol	919.1066 -836.8735 -79.5037	-1.431 -37.788 -91.731
weapon_zm_pistol	71.0730 -793.6422 -71.0678	-1.316 -35.882 -91.862
weapon_zm_pistol	569.3555 -667.0319 -127.6058	0.398 -54.154 89.845
weapon_zm_pistol	700.6891 -465.9191 -87.6469	0.585 36.679 88.876
weapon_zm_pistol	2604.5618 348.2365 -127.7525	-0.575 35.367 88.734
weapon_zm_pistol	1947.2302 -805.8228 102.8697	-0.086 -35.905 -89.940
weapon_zm_pistol	468.4024 1568.6034 25.2809	0.019 35.158 87.782
weapon_zm_pistol	-950.7810 -1315.1936 -534.3154	-0.517 -38.890 -88.109
weapon_zm_pistol	-719.6683 79.1101 -591.2938	-9.067 35.525 92.900
weapon_zm_pistol	477.4531 1557.4598 -367.7699	-0.651 35.368 88.591
item_ammo_pistol_ttt	-78.9642 1477.5570 -108.6263	6.496 2.989 -4.194
item_ammo_pistol_ttt	-84.1428 1450.0853 -105.9382	7.182 0.735 -4.434
item_ammo_pistol_ttt	-88.5208 1473.5497 -107.3299	5.097 -0.307 -4.545
item_ammo_pistol_ttt	787.0631 856.0754 -111.5581	-0.312 0.035 -0.432
item_ammo_pistol_ttt	813.2776 856.1536 -111.5348	-0.184 0.034 -0.254
item_ammo_pistol_ttt	843.1709 858.5066 -111.5654	-0.353 0.035 -0.487
item_ammo_pistol_ttt	941.4595 -849.7402 -80.5255	-0.163 -0.411 0.218
item_ammo_pistol_ttt	1003.6201 -851.7304 -111.5680	1.800 0.155 0.148
item_ammo_pistol_ttt	986.2750 -852.3508 -111.5855	-0.462 0.036 -0.640
item_ammo_pistol_ttt	86.4100 -828.0750 -111.5726	-0.392 0.036 -0.542
item_ammo_pistol_ttt	86.2915 -849.0737 -111.5726	-0.392 0.036 -0.542
item_ammo_pistol_ttt	99.3815 -846.5169 -111.5608	-0.327 0.035 -0.452
item_ammo_pistol_ttt	269.4154 -572.9800 -108.6509	89.267 61.436 -179.999
item_ammo_pistol_ttt	271.0897 -476.2792 -124.5975	-88.817 25.359 -162.764
item_ammo_pistol_ttt	237.8441 -326.4514 -63.5607	-0.327 0.035 -0.452
item_ammo_pistol_ttt	728.0662 -468.4959 -127.5516	-0.277 0.035 -0.383
item_ammo_pistol_ttt	741.1919 -465.9846 -127.5580	-0.312 0.035 -0.432
item_ammo_pistol_ttt	721.0980 -456.8723 -127.5687	-0.492 1.200 -0.598
item_ammo_pistol_ttt	2618.3149 365.8839 -127.5653	-0.352 0.036 -0.487
item_ammo_pistol_ttt	2622.5142 328.9986 -127.5396	-0.211 0.034 -0.292
item_ammo_pistol_ttt	2614.1721 332.1002 -127.5653	-0.352 0.036 -0.487
item_ammo_pistol_ttt	1931.9165 -809.5974 101.8026	0.055 0.404 -0.011
item_ammo_pistol_ttt	1940.2466 -797.5754 101.8029	0.000 0.404 -0.011
item_ammo_pistol_ttt	1927.4722 -783.0948 101.7091	-1.130 -0.077 0.099
item_ammo_pistol_ttt	473.6593 1544.7367 25.4195	-0.436 0.036 -0.602
item_ammo_pistol_ttt	480.9503 1535.5497 25.4444	-0.299 0.035 -0.413
item_ammo_pistol_ttt	459.2292 1582.4060 25.3775	-0.158 -0.183 -0.071
item_ammo_pistol_ttt	-281.1272 -787.3976 64.0119	-0.297 0.065 0.023
item_ammo_pistol_ttt	-270.8627 -795.4866 63.9952	-0.242 -0.152 0.094
item_ammo_pistol_ttt	-256.5492 -784.2808 63.8777	0.415 -0.004 0.029
item_ammo_pistol_ttt	-123.3580 -224.7411 -127.5667	-0.495 0.461 -0.586
item_ammo_pistol_ttt	-166.9583 -212.0246 -127.5510	0.736 0.005 0.108
item_ammo_pistol_ttt	-141.7466 -210.4840 -127.5644	-0.347 0.036 -0.480
item_ammo_pistol_ttt	-286.8130 98.1313 -74.6010	-0.131 0.013 0.010
item_ammo_pistol_ttt	-274.7112 100.7572 -74.6217	-0.107 0.058 -0.020
item_ammo_pistol_ttt	-261.4013 100.9207 -74.6653	-0.157 -0.019 0.007
item_ammo_pistol_ttt	-210.7992 1110.8762 -82.7169	-0.073 -0.021 -0.016
item_ammo_pistol_ttt	-222.1007 1111.3892 -82.7985	-0.119 -0.013 -0.020
item_ammo_pistol_ttt	-238.6125 1123.3186 -111.5654	-0.353 0.035 -0.487
item_ammo_pistol_ttt	805.9482 55.1269 -2.5581	-0.312 0.035 -0.432
item_ammo_pistol_ttt	793.4817 55.1201 -2.5310	-0.163 0.034 -0.225
item_ammo_pistol_ttt	778.4014 57.7313 -2.5726	-0.392 0.036 -0.542
item_ammo_pistol_ttt	-1509.7406 1068.0128 -563.4682	-68.906 157.236 179.434
item_ammo_pistol_ttt	-1552.7152 1091.8064 -574.2504	-80.374 161.470 -137.204
item_ammo_pistol_ttt	-1587.4849 1098.9252 -581.9667	-7.039 0.373 -3.097
item_ammo_pistol_ttt	-952.6021 -1344.4407 -598.2686	0.980 89.054 -0.003
item_ammo_pistol_ttt	-958.9141 -1359.0907 -605.5235	0.449 94.906 -0.001
item_ammo_pistol_ttt	-957.1558 -1339.9110 -532.4163	-89.100 -0.737 159.598
item_ammo_pistol_ttt	-708.0940 99.9490 -587.1483	-5.007 0.290 8.172
item_ammo_pistol_ttt	-733.3314 104.9811 -588.7789	-4.936 0.293 8.170
item_ammo_pistol_ttt	-714.9019 97.5210 -588.1382	-4.981 0.287 8.171
item_ammo_pistol_ttt	-854.5700 -11.1496 -589.5428	77.633 -175.311 -174.578
item_ammo_pistol_ttt	-831.9771 -11.2199 -594.3138	80.104 -175.204 -175.616
item_ammo_pistol_ttt	-814.7192 -11.9136 -599.4462	5.630 0.579 -0.497
item_ammo_pistol_ttt	485.5718 1574.3652 -367.5398	0.491 -0.269 -0.069
item_ammo_pistol_ttt	500.8680 1566.8099 -367.5890	-0.077 -0.020 -0.023
item_ammo_pistol_ttt	520.6915 1570.7399 -367.6770	-0.154 -0.018 -0.047
item_ammo_pistol_ttt	735.7980 -760.2366 -609.5539	-5.885 0.490 10.625
item_ammo_pistol_ttt	718.2544 -788.7682 -610.6452	-81.760 153.985 -1.789
item_ammo_pistol_ttt	722.2694 -754.1442 -606.2343	-79.413 -108.825 71.836
weapon_zm_revolver	1610.8702 142.6571 -70.0764	2.523 -20.546 -83.845
weapon_zm_revolver	1947.0457 157.5525 -61.7943	2.410 -22.734 -84.373
weapon_zm_revolver	2288.8054 -642.1431 103.2469	2.388 -25.903 -84.673
weapon_zm_revolver	1141.7472 -804.1788 -70.1006	2.587 -20.497 -83.230
weapon_zm_revolver	-155.7760 -499.0449 -78.7564	2.676 -20.138 -84.003
weapon_zm_revolver	-14.4836 1359.6899 -63.0512	2.583 -19.029 -83.271
weapon_zm_revolver	847.5435 869.7410 65.4573	2.141 -19.866 -85.518
weapon_zm_revolver	746.5683 1395.6616 -74.5238	3.592 -17.755 -84.065
weapon_zm_revolver	662.5659 266.3611 -1.0995	2.584 -20.498 -83.259
weapon_zm_revolver	-748.8329 -59.0329 -597.2816	-3.469 -22.137 -84.211
weapon_zm_revolver	-108.9753 812.5675 -472.2982	38.050 3.800 5.266
weapon_zm_revolver	310.5834 -298.9153 -126.1180	2.274 121.672 -83.868
weapon_zm_revolver	-1895.3627 1115.9401 -533.9461	5.048 -26.426 -86.552
ttt_random_weapon	2466.7214 91.8138 137.2041	1.829 4.777 -92.702
ttt_random_weapon	1710.4144 -735.6322 -86.3005	1.440 -0.430 -93.388
ttt_random_weapon	1490.5573 -626.8599 25.2027	1.845 4.778 -92.667
ttt_random_weapon	2398.9172 -861.3814 -110.8725	1.827 6.263 -92.593
ttt_random_weapon	756.6844 -44.4551 -105.3622	-9.408 5.042 -96.353
ttt_random_weapon	818.6508 1502.3856 -125.7930	1.829 4.777 -92.702
item_ammo_smg1_ttt	246.0410 -195.5905 -127.4367	0.000 7.683 0.000
item_ammo_smg1_ttt	220.5179 -240.5914 -127.4621	-0.137 0.018 -0.116
item_ammo_smg1_ttt	1383.0612 358.9612 -111.4706	0.471 -0.241 0.546
item_ammo_smg1_ttt	1345.7074 340.5522 -111.4771	-0.229 0.015 -0.195
item_ammo_smg1_ttt	1736.7102 260.6291 -77.2330	-0.028 -0.108 -0.019
item_ammo_smg1_ttt	1790.6526 252.2513 -77.2330	-0.037 -0.108 -0.025
item_ammo_smg1_ttt	1614.8090 351.9856 -77.2330	-0.116 -0.169 -0.077
item_ammo_smg1_ttt	1657.8932 342.0308 -45.2099	0.192 1.511 -0.000
item_ammo_smg1_ttt	1656.8142 344.9507 -14.2712	0.130 -1.230 -0.173
item_ammo_smg1_ttt	-138.3774 -524.9399 -111.5680	0.049 3.791 -0.157
item_ammo_smg1_ttt	-157.2694 -525.2380 -111.4850	-0.519 -0.949 -0.015
item_ammo_smg1_ttt	2143.6567 -130.1935 -104.7573	-0.134 0.480 11.656
item_ammo_smg1_ttt	2157.6399 -131.7382 -105.0956	-0.172 0.510 11.819
item_ammo_smg1_ttt	583.7446 202.1715 -119.4581	-0.439 0.368 -0.146
item_ammo_smg1_ttt	614.1916 202.0606 -119.5107	-1.245 0.032 -0.294
item_ammo_smg1_ttt	208.6003 -196.0665 -127.4740	-0.112 1.505 -0.181
item_ammo_smg1_ttt	299.2451 1299.8760 -612.3509	-3.690 -82.611 -5.608
item_ammo_smg1_ttt	315.1952 1343.1144 -612.4436	-78.258 60.143 -52.424
item_ammo_smg1_ttt	-825.7839 81.6462 -590.8695	7.696 -1.614 8.464
item_ammo_smg1_ttt	-791.5183 77.0078 -594.4009	1.812 0.105 8.832
item_ammo_smg1_ttt	-770.8306 105.4507 -590.3317	-1.573 0.162 7.720
item_ammo_smg1_ttt	-760.5932 97.0160 -585.6007	82.318 72.832 93.001
item_ammo_smg1_ttt	-785.0556 106.1514 -590.3287	3.324 -3.598 8.036
weapon_zm_shotgun	1609.6614 79.0554 -70.7141	-0.480 7.175 84.747
weapon_zm_shotgun	2201.7241 -703.3094 -78.7781	-0.252 9.595 82.746
weapon_zm_shotgun	1098.2365 -857.9678 -111.0196	-0.388 -9.330 -83.253
weapon_zm_shotgun	920.5043 -810.2137 -78.5781	9.682 0.303 1.227
weapon_zm_shotgun	-318.4615 -383.6543 25.2628	-0.397 9.587 84.020
weapon_zm_shotgun	-47.6833 231.9984 -66.3566	-0.656 9.731 89.864
weapon_zm_shotgun	146.1029 513.1752 -103.8721	1.162 -167.796 76.554
weapon_zm_shotgun	101.0014 1417.1177 -125.6274	9.534 0.507 2.484
weapon_zm_shotgun	589.1422 51.3240 -1.7379	-0.556 9.380 84.587
weapon_zm_shotgun	-1030.3544 -1236.3896 -604.7600	-0.350 86.859 83.402
weapon_zm_shotgun	-679.2764 -73.3548 -589.8681	-12.233 11.195 90.287
weapon_ttt_m16	-278.6750 -764.3125 64.7597	2.063 -8.026 85.222
weapon_ttt_m16	-167.6972 -234.0194 -126.8059	2.432 -8.451 84.601
weapon_ttt_m16	-277.1004 85.6915 -73.8871	2.074 -8.709 84.319
weapon_ttt_m16	-215.6106 1095.7363 -81.8937	2.172 -7.675 85.560
weapon_ttt_m16	2051.1296 -820.4103 83.6635	2.334 -6.903 84.325
weapon_ttt_m16	720.3394 100.9818 29.4578	2.037 -8.130 84.294
weapon_ttt_m16	-1541.6373 1138.5042 -563.9003	-8.704 6.775 -91.058
weapon_ttt_m16	-859.7896 -32.4785 -588.5908	13.430 -17.669 -90.378
weapon_ttt_m16	490.3947 1533.7892 -365.8052	1.835 39.710 -84.621
weapon_zm_molotov	2034.8324 -859.3833 68.5227	0.544 0.007 -0.264
weapon_zm_molotov	2087.2317 -680.9022 68.5891	2.610 -0.128 -2.690
weapon_zm_molotov	2405.5481 -868.6673 68.5603	3.462 -0.129 -3.595
weapon_zm_molotov	-93.4718 241.3293 -63.2048	3.311 -0.123 -3.392
weapon_zm_molotov	-360.3832 666.5167 -107.4843	0.382 0.003 -0.072
weapon_zm_molotov	337.1677 1366.9595 -72.3728	0.346 0.003 -0.030
weapon_zm_molotov	895.7652 928.4574 -107.4773	0.542 0.007 -0.262
weapon_zm_molotov	754.3712 466.8720 -78.4845	0.177 0.168 -0.848
weapon_zm_molotov	-954.3231 -1347.1178 -547.1985	0.604 0.007 -0.212
weapon_zm_molotov	-799.2152 15.7363 -596.1078	6.402 2.080 3.257
item_box_buckshot_ttt	1658.8168 58.6598 -77.3306	-0.386 -0.004 0.313
item_box_buckshot_ttt	1648.3302 59.9291 -77.4206	0.512 0.018 -0.338
item_box_buckshot_ttt	1669.3788 55.7211 -77.4192	0.330 0.003 -0.189
item_box_buckshot_ttt	2186.1216 -700.2538 -79.5269	-1.092 -0.025 1.303
item_box_buckshot_ttt	2169.9663 -700.5869 -79.5706	1.659 -0.009 -0.546
item_box_buckshot_ttt	2140.9644 -695.5527 -79.5871	0.813 -0.009 0.247
item_box_buckshot_ttt	1077.9764 -865.9291 -111.5424	1.682 -0.042 -0.541
item_box_buckshot_ttt	1059.8846 -852.0638 -111.5345	0.596 0.017 0.036
item_box_buckshot_ttt	1073.8781 -851.2088 -111.5730	1.490 -0.008 -0.396
item_box_buckshot_ttt	996.1625 -776.3539 -111.5264	-0.989 -0.019 1.219
item_box_buckshot_ttt	981.5789 -751.7112 -111.5410	0.671 -0.009 0.156
item_box_buckshot_ttt	965.8209 -763.1323 -111.5246	1.724 0.029 -0.393
item_box_buckshot_ttt	-330.8506 -363.4766 24.4777	-0.950 -0.016 1.139
item_box_buckshot_ttt	-312.0518 -357.5410 24.4130	0.814 -0.009 0.247
item_box_buckshot_ttt	-301.3324 -371.5336 24.4404	-0.778 0.039 -1.409
item_box_buckshot_ttt	-43.2780 246.0891 -67.3975	-0.046 0.089 -0.511
item_box_buckshot_ttt	-55.3929 244.3152 -67.3771	0.067 0.118 -0.115
item_box_buckshot_ttt	-67.5706 244.0105 -67.4104	0.046 0.095 -0.089
item_box_buckshot_ttt	134.3326 553.3030 -65.1921	-0.545 1.848 15.459
item_box_buckshot_ttt	147.4693 554.2948 -64.9480	-0.558 1.836 15.605
item_box_buckshot_ttt	89.5691 1431.5646 -127.5307	-1.063 -0.023 1.327
item_box_buckshot_ttt	128.6711 1437.8833 -127.5204	-0.810 -0.012 1.011
item_box_buckshot_ttt	99.4020 1449.2970 -127.5321	-1.141 -0.027 1.405
item_box_buckshot_ttt	562.5358 47.5309 -2.5344	1.392 -0.045 -0.315
item_box_buckshot_ttt	555.7545 57.8622 -2.5601	1.767 -0.072 -0.427
item_box_buckshot_ttt	574.4926 48.4596 -2.5174	-0.669 -0.009 0.868
item_box_buckshot_ttt	-1014.2897 -1211.4956 -605.5414	-0.494 -0.484 0.737
item_box_buckshot_ttt	-1002.8684 -1211.3669 -605.5459	1.694 -0.052 -0.601
item_box_buckshot_ttt	-1010.8902 -1225.5392 -605.5589	-0.561 -0.007 0.499
item_box_buckshot_ttt	-661.0610 -53.7798 -585.5358	-11.630 3.194 4.590
item_box_buckshot_ttt	-686.4513 -30.7541 -589.1321	-13.534 -3.384 -0.168
item_box_buckshot_ttt	-676.9898 -32.3642 -586.9801	-13.917 -3.017 -0.272
weapon_zm_sledge	-52.4054 1246.5259 -107.5822	18.452 0.163 2.983
weapon_zm_sledge	-245.2030 1845.2094 -104.3232	-0.187 18.663 92.143
weapon_zm_sledge	2376.3374 -558.2274 -107.6633	18.125 -4.117 3.124
weapon_zm_sledge	202.9928 -802.0585 31.0817	1.826 29.463 88.327
weapon_zm_sledge	655.5776 -74.9175 -105.2705	-5.517 48.946 78.943
weapon_zm_sledge	786.1714 331.8798 38.4571	18.970 20.472 3.356
weapon_zm_sledge	-740.4109 -5.9477 -595.3058	4.856 2.528 2.108
weapon_zm_sledge	859.0190 -719.0663 -585.1638	17.120 5.447 7.874
weapon_zm_sledge	-1046.9613 -451.1359 -572.0750	-20.727 -8.316 -134.931
