# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_smokegrenade	2357.665527 -950.576782 4.384800	0.623 0.682 -1.530
weapon_ttt_smokegrenade	3129.970459 -530.116272 9.567000	0.241 -0.459 -1.980
weapon_ttt_smokegrenade	2657.800537 544.099670 5.561400	-0.227 0.460 2.632
weapon_ttt_smokegrenade	1206.351807 1323.101440 6.592300	-0.170 0.145 -4.104
weapon_ttt_smokegrenade	2310.697510 -360.754791 10.509900	0.381 0.002 0.003
weapon_ttt_smokegrenade	1913.697021 452.306885 40.507401	0.354 0.002 0.038
weapon_ttt_smokegrenade	3390.692383 1421.031128 12.523400	0.555 0.007 -0.258
weapon_ttt_smokegrenade	1685.247437 2451.705322 12.506500	0.287 0.003 0.072
weapon_ttt_smokegrenade	1532.739624 1568.455688 28.282301	-3.242 1.063 -1.385
weapon_ttt_smokegrenade	364.685394 1540.220581 4.518800	0.435 0.004 -0.117
ttt_random_weapon	3258.621338 1603.152222 16.036699	1.738 4.707 -92.910
ttt_random_weapon	3062.436035 955.862122 10.501600	2.028 6.505 -92.331
ttt_random_weapon	3588.282959 1475.921875 3.881100	2.068 2.646 -92.206
ttt_random_weapon	1863.494019 2801.569092 21.129999	1.834 0.097 -92.691
ttt_random_weapon	1848.050537 2777.488770 5.029300	1.834 2.510 -92.691
ttt_random_weapon	375.833313 -919.199524 9.710200	1.715 5.996 -92.965
ttt_random_weapon	351.993988 -1510.663940 25.026600	1.547 5.360 -93.348
ttt_random_weapon	2657.217773 -1555.656250 29.656200	2.592 3.215 -94.863
ttt_random_weapon	2084.766602 -1604.971558 45.363602	-2.485 -48.320 85.323
ttt_random_weapon	2181.463623 461.295593 15.999300	1.934 4.924 -92.462
ttt_random_weapon	1753.038940 659.624207 40.269901	-1.652 158.609 84.163
ttt_random_weapon	1765.112915 575.844421 36.808201	1.930 3.509 -92.663
ttt_random_weapon	1589.055542 465.535004 1.216200	1.692 4.925 -93.016
ttt_random_weapon	1576.587524 686.760986 1.232900	1.504 4.911 -93.448
ttt_random_weapon	1873.310913 383.273010 262.296997	1.836 3.834 -92.686
item_ammo_smg1_ttt	1645.115356 1455.586548 57.857399	-1.243 -0.049 -0.300
item_ammo_smg1_ttt	1677.224854 1446.931763 59.812099	11.628 -3.263 -0.283
item_ammo_smg1_ttt	2031.668823 440.926514 36.391701	0.109 -0.005 0.061
item_ammo_smg1_ttt	2013.825806 440.408997 36.399300	-0.152 0.005 0.090
item_ammo_smg1_ttt	2125.636475 -1513.661865 8.477500	0.503 -0.001 0.218
item_ammo_smg1_ttt	2122.448242 -1489.185913 8.479900	0.210 0.000 0.022
item_ammo_smg1_ttt	2325.403320 -366.890686 66.539497	0.508 0.401 0.501
item_ammo_smg1_ttt	2324.983887 -402.697510 66.549599	0.301 0.399 0.294
item_ammo_smg1_ttt	2478.533691 -845.668884 256.430603	0.757 -0.002 0.496
item_ammo_smg1_ttt	2479.410400 -875.704712 256.415710	0.338 -0.005 0.215
item_ammo_smg1_ttt	335.724701 -711.869629 0.512300	-0.288 0.012 -0.247
item_ammo_smg1_ttt	356.647400 -715.294800 0.428600	0.663 -0.003 0.433
item_ammo_smg1_ttt	3167.177246 1689.359863 98.252296	-18.180 0.468 16.548
item_ammo_smg1_ttt	3176.165527 1676.595337 103.235802	65.885 40.484 87.420
weapon_ttt_m16	3129.742920 1221.448242 9.174400	2.203 -8.225 84.416
weapon_ttt_m16	1320.023682 1526.704102 53.146301	0.435 -9.547 -84.354
weapon_ttt_m16	1761.121704 1342.044800 53.983700	1.646 9.345 -85.350
weapon_ttt_m16	2144.863281 -972.585571 1.226800	2.024 5.201 85.223
weapon_ttt_m16	978.483887 892.838074 0.990500	0.645 -8.571 82.934
weapon_ttt_m16	1540.951904 -774.221680 34.924099	2.113 8.688 84.717
weapon_ttt_m16	2072.978271 596.478271 8.469000	-69.731 -11.799 87.502
weapon_ttt_m16	1574.347412 -1673.408203 2.450700	1.801 -4.204 84.130
ttt_playerspawn	3037.697266 1776.211426 8.523243	-0.040 -0.000 0.040
ttt_playerspawn	4125.471191 1519.918335 8.530144	0.037 0.000 -0.037
ttt_playerspawn	2066.864014 2716.289551 8.522817	0.036 -0.000 -0.036
ttt_playerspawn	438.558228 2021.255859 0.506667	0.049 0.000 -0.049
ttt_playerspawn	478.232178 65.998901 0.487585	0.050 -0.000 -0.049
