# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_italy
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_smokegrenade	-1034.184937 1716.648315 -107.074501	0.592 -0.056 -1.903
weapon_ttt_smokegrenade	422.589203 -483.157196 -118.334297	1.444 -0.232 -1.079
weapon_ttt_smokegrenade	422.032806 -477.160797 -121.178200	-87.616 46.372 90.176
weapon_ttt_smokegrenade	434.473785 -476.087585 -118.401604	2.408 -0.125 -2.428
ttt_random_weapon	1056.814819 -758.476929 -86.808899	1.756 71.828 -93.506
ttt_random_weapon	984.041077 2511.188721 129.227997	1.559 4.758 -93.322
ttt_random_weapon	797.335876 2316.781250 1.225400	1.588 4.986 -93.254
ttt_random_weapon	415.565094 2244.930176 43.702702	2.200 -17.735 -92.259
ttt_random_weapon	-263.303009 2365.407959 9.205000	1.819 4.928 -92.725
ttt_random_weapon	-925.945129 -1243.307617 -143.282501	1.819 2.948 -92.725
ttt_random_weapon	-339.508392 -1141.979248 -146.492996	1.819 4.928 -92.725
ttt_random_weapon	606.899780 -726.064819 -143.835999	1.622 3.568 -93.178
ttt_random_weapon	998.805176 -160.721298 -136.654800	1.882 1.415 -92.582
ttt_random_weapon	-1342.932739 1535.918213 -69.423698	1.118 7.419 -93.843
ttt_random_weapon	-1053.285889 1615.420166 -40.991001	1.786 3.484 -92.801
ttt_random_weapon	-1077.653809 1137.089722 10.818100	1.893 6.541 -92.556
ttt_random_weapon	-930.686890 888.447205 -158.807602	1.910 5.215 -92.458
ttt_random_weapon	-1293.852173 1008.107117 -94.604897	5.976 15.593 -83.710
ttt_random_weapon	-295.971588 -99.016899 -21.844700	1.515 7.678 -94.891
ttt_random_weapon	417.584015 -291.747406 -153.140198	-1.891 -158.290 84.392
item_ammo_smg1_ttt	435.280701 -287.940002 -125.505402	0.001 112.229 -0.471
item_ammo_smg1_ttt	462.128510 -389.257385 -127.553398	0.095 -0.003 0.064
item_ammo_smg1_ttt	444.112488 -347.542114 -95.579903	0.420 -0.004 0.270
weapon_ttt_m16	549.121826 -509.034912 -39.660400	2.524 -31.950 -84.448
weapon_ttt_m16	-1282.816650 1049.234985 -140.600098	1.828 -2.163 -82.978
weapon_ttt_m16	-838.141724 -1347.186035 -21.600599	2.241 94.747 -86.409
weapon_ttt_m16	-427.336212 -101.104698 -150.817596	2.290 -8.028 84.480
ttt_playerspawn	-981.532288 -1672.025269 -151.457733	0.207 -0.102 -0.024
ttt_playerspawn	-982.119019 -2029.548462 -151.506454	0.093 0.089 -0.066
ttt_playerspawn	-902.324707 -1497.738892 -151.450089	0.015 0.117 -0.115
ttt_playerspawn	-1422.143677 72.558708 8.561242	-0.028 -0.000 0.028
ttt_playerspawn	-1122.238525 1249.479736 8.515181	0.012 -0.002 -0.121
ttt_playerspawn	-226.128174 1756.651855 -151.443573	0.238 -0.240 -0.100
