# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_militia
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	780.192444 423.268372 -148.818054	0.146 -7.065 -85.299
weapon_ttt_awp	601.930359 619.128052 323.067139	2.366 7.347 105.303
weapon_ttt_smokegrenade	190.814194 524.397278 23.680000	3.343 -0.124 -3.436
weapon_ttt_smokegrenade	106.281403 274.556396 -147.496094	0.272 0.003 0.093
weapon_ttt_smokegrenade	347.569305 423.428497 -85.083504	1.022 0.012 -0.735
weapon_ttt_smokegrenade	23.982100 1004.579407 -147.368805	1.478 -0.113 -1.519
weapon_ttt_smokegrenade	547.638428 1123.908081 -137.391907	2.336 -0.123 -2.381
weapon_ttt_smokegrenade	23.596901 957.833984 12.749900	3.026 -0.121 -3.089
weapon_ttt_smokegrenade	356.485840 1744.215454 -307.663544	29.034 102.287 95.022
weapon_ttt_smokegrenade	1923.281250 422.562988 -317.641907	74.009 -66.025 -56.852
weapon_ttt_smokegrenade	838.453003 -2406.870361 -201.412201	-3.295 -5.040 4.590
weapon_ttt_smokegrenade	866.688904 -2406.955566 -200.169800	-4.041 0.399 -4.625
weapon_ttt_smokegrenade	1695.885254 -2290.520752 -168.482895	-47.098 -31.487 97.856
weapon_ttt_smokegrenade	1942.123413 1025.555298 -313.622559	31.283 -100.442 99.508
weapon_ttt_smokegrenade	628.480469 1972.457397 -304.266968	27.343 -115.646 88.669
weapon_ttt_smokegrenade	631.578064 1981.656006 -304.452606	21.560 -92.661 -91.137
weapon_ttt_pump	1055.784790 -929.505554 -311.991852	-6.204 6.622 74.339
weapon_ttt_pump	1945.330078 1044.314941 -310.889832	-16.982 6.789 99.756
ttt_random_weapon	425.430786 835.591003 15.292300	1.936 5.440 -92.155
ttt_random_weapon	318.628601 861.110474 -8.862600	-2.138 18.502 86.131
ttt_random_weapon	113.200798 603.842285 -7.180700	1.786 5.213 -92.801
ttt_random_weapon	583.116821 571.163513 -9.286300	1.683 3.777 -93.036
ttt_random_weapon	507.837097 412.909790 -0.675600	1.747 7.191 -92.891
ttt_random_weapon	680.213623 606.924805 -137.669907	1.857 -0.132 -92.638
ttt_random_weapon	196.974396 669.469971 -59.316799	0.787 2.431 -95.409
ttt_random_weapon	633.833374 980.089905 -111.624001	2.030 3.176 -92.241
ttt_random_weapon	764.688721 690.148071 -134.623398	1.791 13.512 -92.790
ttt_random_weapon	1174.282471 690.204590 -75.406799	8.600 8.843 -85.652
ttt_random_weapon	1269.811401 389.719513 -137.868896	1.687 14.085 -93.029
ttt_random_weapon	1214.702148 395.578430 -150.821289	1.137 4.477 -93.642
ttt_random_weapon	755.136902 582.186279 130.827103	-0.541 4.810 63.267
ttt_random_weapon	1287.071289 491.491486 164.379807	-5.091 -62.252 117.108
ttt_random_weapon	1274.962524 -67.650703 -136.138397	-0.821 8.354 -99.021
ttt_random_weapon	995.765930 -338.506714 -296.709290	13.577 -35.600 100.009
ttt_random_weapon	903.148071 -1561.651611 -345.815887	2.571 2.064 -96.708
ttt_random_weapon	2562.819824 -1991.498047 -136.988800	2.897 -1.253 -90.964
ttt_random_weapon	-92.373596 -823.264282 -121.387604	19.266 5.165 -94.472
ttt_random_weapon	164.401993 163.908295 -128.767502	11.868 3.210 -102.484
weapon_ttt_dualelite	-13.619861 -2494.911865 -97.312798	-6.001 0.359 -0.548
weapon_ttt_dualelite	1056.784302 -212.918365 -142.659164	1.628 0.935 -16.058
weapon_ttt_dualelite	293.288635 1973.565918 -295.415466	5.637 3.448 3.511
item_ammo_smg1_ttt	21.465000 945.037476 8.676400	0.825 90.189 -0.618
item_ammo_smg1_ttt	21.288200 933.833008 8.676400	0.825 90.409 -0.618
item_ammo_smg1_ttt	410.476288 393.012512 -151.499405	0.825 89.528 -0.618
item_ammo_smg1_ttt	411.161011 414.707886 -151.499405	0.825 89.528 -0.618
item_ammo_smg1_ttt	673.722717 1141.549438 -151.499405	0.825 -90.432 -0.618
item_ammo_smg1_ttt	1354.299194 383.352905 -157.477600	0.825 -86.472 -0.618
item_ammo_smg1_ttt	1356.545166 358.169189 -155.864105	0.825 -87.572 -0.618
item_ammo_smg1_ttt	1010.448792 -2623.503662 -180.298096	0.825 174.888 -0.618
