# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_office
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-475.861176 -1411.850342 -239.485764	1.017 89.711 83.917
weapon_ttt_awp	-684.312805 -203.318741 -159.009293	1.256 -97.437 -83.633
weapon_ttt_awp	-423.193848 -797.915222 -62.198631	-20.438 1.851 -88.294
weapon_ttt_smokegrenade	495.733002 637.470276 -155.410095	1.002 57.135 -0.771
weapon_ttt_smokegrenade	-445.939789 -115.713997 -125.394798	2.173 -0.121 -2.220
weapon_ttt_smokegrenade	-440.233612 -112.020401 -125.403999	2.465 -0.123 -2.528
weapon_ttt_smokegrenade	-437.509705 -119.119598 -125.467201	1.159 0.012 -0.959
weapon_ttt_smokegrenade	-441.285187 -126.201897 -125.432999	3.306 -0.124 -3.408
weapon_ttt_smokegrenade	-430.944397 -114.058197 -125.471901	1.015 0.012 -0.736
weapon_ttt_smokegrenade	2219.440674 -180.279999 -125.455299	0.541 0.007 -0.260
weapon_ttt_pump	-1727.444946 -1586.089233 -326.470367	-0.375 -1.243 -90.153
weapon_ttt_pump	-658.379761 -161.098343 -128.539978	-0.314 176.082 -89.590
weapon_ttt_pump	883.429077 892.665344 -140.935669	-0.020 -26.404 -90.293
ttt_random_weapon	1149.268555 302.193298 -153.994598	1.962 7.026 -92.546
ttt_random_weapon	1507.971191 418.824890 -123.789902	1.634 5.132 -93.149
ttt_random_weapon	1545.442871 413.432892 -119.798500	1.686 3.097 -92.915
ttt_random_weapon	2174.827637 -236.674500 -112.128197	1.625 24.343 -93.170
ttt_random_weapon	1342.514038 -551.200623 -147.543396	1.882 11.314 -92.711
ttt_random_weapon	1339.511475 -373.272400 -149.890396	2.224 6.790 -92.007
ttt_random_weapon	734.188599 -206.546707 -120.186996	1.204 9.804 -94.793
ttt_random_weapon	731.028015 -241.033096 -116.202499	2.340 -3.006 -92.551
ttt_random_weapon	560.313477 397.964905 -158.843796	2.308 5.660 -91.833
ttt_random_weapon	-514.722107 -433.277802 -251.823593	-7.274 2.826 -90.295
ttt_random_weapon	-1651.838135 -448.845001 -238.798401	1.857 4.928 -92.637
ttt_random_weapon	-1643.488770 -136.618103 -238.790695	1.770 4.927 -92.837
ttt_random_weapon	-1276.437378 -2113.079102 -264.928009	1.907 41.418 -92.523
ttt_random_weapon	664.042725 -1509.198242 -238.942200	1.501 6.231 -93.454
ttt_random_weapon	652.634888 -1343.154297 -239.689194	1.890 -9.593 -92.563
ttt_random_weapon	1371.602051 -1499.982544 -291.418091	3.528 -3.078 -90.588
ttt_random_weapon	1162.093018 -821.717285 -144.294403	1.662 6.299 -94.601
ttt_random_weapon	-277.704895 642.569214 -112.765503	2.211 34.730 -92.035
ttt_random_weapon	-282.114014 515.845581 -107.899498	2.238 -31.283 -91.979
ttt_random_weapon	-1379.044556 1225.125854 -334.801300	1.890 4.927 -92.563
ttt_random_weapon	-1011.934326 600.282776 -334.799896	1.874 4.930 -92.601
ttt_random_weapon	-723.984802 569.353027 -366.799103	1.865 4.929 -92.619
ttt_random_weapon	-788.746582 128.228897 -366.778503	1.632 4.921 -93.153
ttt_random_weapon	-878.143127 -230.285141 -158.774750	1.575 17.657 -93.342
weapon_ttt_dualelite	-1507.248779 -1448.197632 -328.006561	2.857 3.586 0.164
weapon_ttt_dualelite	-658.548645 -144.595703 -130.004364	1.924 0.148 -0.063
weapon_ttt_dualelite	-493.386505 -1746.432617 -336.034271	2.013 0.166 -0.058
item_ammo_smg1_ttt	1358.581909 -98.655998 -134.588806	0.269 -0.005 0.169
item_ammo_smg1_ttt	1284.831055 -96.069504 -134.560303	0.124 -0.415 -0.032
item_ammo_smg1_ttt	1271.647339 -73.950600 -134.471405	-0.542 0.056 -0.124
item_ammo_smg1_ttt	1272.532593 -96.044098 -159.481201	0.228 0.019 0.456
item_ammo_smg1_ttt	1319.846802 -79.864601 -96.548897	-0.566 15.716 0.408
item_ammo_smg1_ttt	610.296875 -1709.311279 -304.127594	-3.363 -0.000 2.741
item_ammo_smg1_ttt	608.734497 -2038.658081 -309.158386	9.387 0.250 -23.487
item_ammo_smg1_ttt	349.303986 -418.457794 -159.452301	0.192 -0.384 -0.075
item_ammo_smg1_ttt	349.984192 -418.399414 -145.683807	0.128 -1.430 -0.023
item_ammo_smg1_ttt	738.336975 -157.165497 -127.487396	-0.847 0.066 -0.218
item_ammo_smg1_ttt	1358.115723 -76.243202 -120.577698	0.471 -0.004 0.305
