# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_aztec
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-2007.860718 -338.161682 -204.839569	-0.035 -8.161 -85.447
weapon_ttt_awp	-3134.943604 329.278870 -44.376377	5.534 -7.352 -92.563
weapon_ttt_awp	-2250.773193 -1511.059692 -58.732986	-2.502 -5.473 -65.205
weapon_ttt_awp	-1285.989990 705.552551 1.118515	0.936 -8.281 -84.472
weapon_ttt_smokegrenade	141.136902 -820.169495 -187.474396	0.634 0.009 -0.349
weapon_ttt_smokegrenade	-353.374847 -1328.014282 -159.839417	-1.480 -1.456 -1.507
weapon_ttt_smokegrenade	-363.669678 -1340.213989 -159.813004	-0.446 4.369 -1.603
weapon_ttt_smokegrenade	-1988.088379 -247.830261 -207.832489	-1.333 -1.499 -1.356
weapon_ttt_smokegrenade	-1980.224121 13.833429 -220.438705	18.334 -10.374 -93.794
weapon_ttt_smokegrenade	-1809.143677 523.153320 -224.624207	-49.924 -55.482 -88.203
weapon_ttt_smokegrenade	-1912.949829 1231.069824 -204.200607	24.524 -21.939 99.996
weapon_ttt_smokegrenade	-2662.153076 1132.362915 -313.583252	-32.468 -64.199 -95.862
weapon_ttt_smokegrenade	1199.240356 786.446533 -534.053711	21.248 2.801 -95.163
weapon_ttt_smokegrenade	717.590759 342.130829 -303.245758	51.567 2.027 83.892
weapon_ttt_smokegrenade	305.866364 -10.102554 -223.049774	20.465 38.442 88.158
weapon_ttt_smokegrenade	1412.935913 114.014709 -221.733688	17.341 -8.322 -98.218
weapon_ttt_pump	-2511.268799 63.451187 -316.614807	5.059 3.028 14.249
ttt_random_weapon	-3037.701660 -14.252400 -305.218903	9.517 2.456 -87.935
ttt_random_weapon	-2872.946289 567.725525 -314.414215	4.770 4.003 -92.366
ttt_random_weapon	-2265.696777 873.112305 -318.806885	1.952 4.926 -92.420
ttt_random_weapon	-1871.172974 241.406693 -226.290207	3.774 2.529 -93.511
ttt_random_weapon	-2020.974243 -377.557892 -206.768799	1.523 4.913 -93.404
ttt_random_weapon	-931.498230 -59.995602 -207.172501	-4.378 -11.659 91.664
ttt_random_weapon	-221.537994 -280.096313 -210.352203	-0.471 7.021 -84.774
ttt_random_weapon	456.114502 -258.678101 -222.791702	1.779 4.709 -92.817
ttt_random_weapon	-932.411926 -1631.057007 -214.228394	1.923 8.341 -92.494
