# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_chateau
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	618.819885 933.670959 211.107910	-0.112 -7.803 -84.940
weapon_ttt_awp	76.850609 790.014954 209.236145	0.838 -2.874 -85.031
weapon_ttt_smokegrenade	-252.242599 812.758972 212.520401	0.478 0.005 -0.186
weapon_ttt_smokegrenade	-255.258102 804.313293 212.567795	3.255 -0.145 -3.377
weapon_ttt_smokegrenade	-267.855713 805.392883 212.524902	0.621 0.008 -0.353
weapon_ttt_smokegrenade	734.417542 2676.750488 -7.862099	-0.987 -1.295 -0.575
weapon_ttt_smokegrenade	1722.007446 2528.112061 -7.880334	-1.182 -1.250 -0.689
weapon_ttt_smokegrenade	862.303772 924.418457 104.172577	-2.040 -1.207 -1.219
weapon_ttt_smokegrenade	851.004761 924.417908 104.132545	-2.268 -1.209 -1.726
weapon_ttt_smokegrenade	847.321411 930.325256 104.200668	-2.229 -1.707 0.136
weapon_ttt_smokegrenade	1298.119385 1978.901367 9.098590	-8.050 -114.783 3.708
weapon_ttt_smokegrenade	1319.415283 2006.005737 1.773989	-48.586 -111.757 -86.334
weapon_ttt_smokegrenade	1316.030029 2021.791504 0.199497	-1.001 -1.377 -0.697
weapon_ttt_smokegrenade	1328.398193 2036.313721 0.122977	-1.068 -1.488 -1.632
weapon_ttt_smokegrenade	1041.769897 2793.368408 -7.885432	-1.236 -1.239 -0.720
weapon_ttt_smokegrenade	1009.228943 2718.325195 -7.840252	-0.755 -1.330 -0.440
weapon_ttt_smokegrenade	1019.222534 2654.399902 -7.878684	-1.164 -1.249 -0.678
weapon_ttt_smokegrenade	1112.039429 1278.707031 210.097214	25.438 -143.272 90.364
weapon_ttt_pump	488.264191 211.204010 1.199704	-0.805 9.097 89.154
ttt_random_weapon	776.170715 2834.887695 -6.790000	1.739 5.716 -93.006
ttt_random_weapon	1729.250854 2407.380859 1.191514	1.359 7.110 -93.189
ttt_random_weapon	1731.420532 2351.906982 1.224500	1.598 4.919 -93.231
ttt_random_weapon	145.247498 1003.609070 1.223300	1.612 4.762 -93.200
ttt_random_weapon	-201.720596 1326.283569 48.568901	1.723 -37.595 -92.945
ttt_random_weapon	-236.456696 226.676193 13.840500	0.324 -98.652 -92.375
ttt_random_weapon	127.451599 91.378098 -38.784698	1.703 4.926 -92.991
ttt_random_weapon	2846.964844 870.936523 -13.673100	1.858 2.255 -92.637
ttt_random_weapon	3013.085938 1143.814087 1.230000	1.536 4.981 -93.373
ttt_random_weapon	2431.427490 1073.003784 38.125702	2.188 -83.451 -92.141
ttt_random_weapon	2238.835693 1227.490356 1.235300	1.476 4.973 -93.511
ttt_random_weapon	1583.678711 1705.611206 1.245373	1.243 5.592 -94.504
ttt_random_weapon	472.696198 594.912903 1.209971	1.739 5.716 -93.006
weapon_ttt_dualelite	669.585815 1493.060303 0.017728	1.860 0.153 -0.264
item_ammo_smg1_ttt	1590.319824 -1286.592285 -34.572701	-5.800 -0.385 -9.193
item_ammo_smg1_ttt	1606.083374 -1262.281250 -37.650501	1.940 0.565 -9.283
item_ammo_smg1_ttt	1580.092041 -1256.114624 -38.375198	-0.224 -0.817 -18.393
item_ammo_smg1_ttt	1600.275513 -1237.042480 -43.355900	8.686 -2.043 -14.492
item_ammo_smg1_ttt	1580.097412 -1227.003052 -47.064400	-3.521 -0.032 -15.864
item_ammo_smg1_ttt	1613.512451 -1180.303223 -45.959599	-14.319 -87.626 171.816
item_ammo_smg1_ttt	1127.572388 -819.652771 -96.858101	8.307 -0.129 6.486
item_ammo_smg1_ttt	1161.248169 -794.137512 -98.068604	8.081 -0.164 3.837
item_ammo_smg1_ttt	1162.397217 -833.879822 -101.063797	4.358 -0.230 3.407
item_ammo_smg1_ttt	1194.439819 -821.361572 -106.983803	14.402 1.550 3.374
item_ammo_smg1_ttt	561.807983 -139.868607 208.383698	0.079 -0.005 0.040
item_ammo_smg1_ttt	704.560974 2417.303467 40.924400	0.104 -0.268 -0.270
item_ammo_smg1_ttt	1001.773254 210.862671 0.525114	-0.374 -0.143 -0.059
item_ammo_smg1_ttt	989.503967 211.824188 0.549571	0.006 -1.638 -0.085
item_ammo_smg1_ttt	977.484863 214.268234 0.507470	-0.760 0.312 -0.119
item_ammo_smg1_ttt	702.123169 406.582123 22.286184	0.003 0.115 0.074
item_ammo_smg1_ttt	716.074036 403.040344 22.204876	0.429 -2.712 0.189
weapon_ttt_m16	2231.629150 1422.211304 226.006500	-5.624 84.732 72.531
weapon_ttt_m16	2448.529541 1223.258057 195.499496	2.703 -71.987 85.408
weapon_ttt_m16	1458.435181 -1162.485474 216.951706	3.337 12.374 -14.133
weapon_ttt_m16	976.675049 -107.347099 1.193791	1.825 1.638 82.533
weapon_ttt_m16	782.899475 949.705811 39.718639	-7.515 -19.751 80.778
ttt_playerspawn	427.386078 909.991821 0.527909	-0.027 -0.000 0.026
ttt_playerspawn	498.255768 904.053833 0.512622	-0.030 -0.000 -0.030
ttt_playerspawn	564.230652 937.607483 0.478855	0.045 -0.000 0.045
ttt_playerspawn	499.891724 991.887390 0.531655	0.122 0.032 0.005
ttt_playerspawn	436.159790 988.879822 0.533773	0.024 -0.000 -0.023
ttt_playerspawn	529.351929 1064.372681 0.523341	0.026 -0.000 0.026
ttt_playerspawn	435.886047 1090.003784 0.514702	0.033 -0.000 0.033
ttt_playerspawn	517.807739 1164.679565 0.500368	0.035 0.000 0.035
ttt_playerspawn	424.108093 1223.769653 0.482947	-0.034 0.000 -0.034
ttt_playerspawn	592.125977 1266.444580 0.564696	0.012 -0.000 0.013
ttt_playerspawn	615.387085 1173.722534 0.494546	0.039 -0.000 0.039
ttt_playerspawn	613.838440 1028.433228 18.499800	0.000 1.410 90.000
ttt_playerspawn	690.168701 1254.752686 0.545577	-0.014 0.000 0.015
ttt_playerspawn	821.985779 1262.541138 0.498242	0.033 -0.000 -0.033
ttt_playerspawn	825.418213 1186.185547 0.476829	0.036 -0.000 -0.033
ttt_playerspawn	841.393555 1136.318481 0.564152	0.075 0.000 0.188
ttt_playerspawn	919.405334 1255.267700 0.517841	-0.030 0.000 0.030
ttt_playerspawn	944.762024 1192.639648 0.503739	0.029 -0.000 -0.029
ttt_playerspawn	1021.986389 1141.319092 0.549628	-0.105 0.484 -0.183
ttt_playerspawn	1015.004089 1049.243652 0.530092	-0.023 -0.000 0.022
ttt_playerspawn	1032.503906 949.470093 0.488368	-0.034 0.000 0.035
ttt_playerspawn	920.835876 954.341675 0.515290	-0.028 0.000 0.028
ttt_playerspawn	740.557190 2549.406738 -7.489725	-0.005 0.000 0.005
ttt_playerspawn	1666.202026 2608.943359 -7.531737	0.006 -0.000 -0.006
ttt_playerspawn	1299.049194 2828.868164 -7.449538	-0.004 0.000 0.004
ttt_playerspawn	3001.806641 309.399597 -159.434555	0.033 -0.000 -0.052
ttt_playerspawn	2775.011719 113.222847 -159.536606	-0.044 0.000 0.053
ttt_playerspawn	2726.381836 324.832855 -159.529160	0.044 0.000 -0.044
ttt_playerspawn	283.887909 1217.104248 0.470617	-0.015 0.000 0.015
ttt_playerspawn	1209.997437 1246.524414 0.498822	-0.038 0.000 0.038
item_box_buckshot_ttt	1674.479370 -1281.039673 -37.175900	1.695 -0.476 -9.329
item_box_buckshot_ttt	1684.813354 -1267.536133 -39.706299	1.680 -0.483 -9.343
