# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust2
# Exported by: [CM:M] Dangerous Dan McGrew
setting:	replacespawns 1
weapon_ttt_awp	358.443390 1398.983032 2.045754	2.548 16.444 105.890
weapon_ttt_awp	-1996.219727 497.272034 8.865652	3.057 21.941 69.461
weapon_ttt_smokegrenade	-1817.263306 2462.265625 36.523399	0.555 0.007 -0.258
weapon_ttt_smokegrenade	-1829.536499 2466.849121 36.629398	1.518 -0.114 -1.558
weapon_ttt_smokegrenade	155.695908 -152.500702 66.893097	2.746 -0.130 -2.800
weapon_ttt_smokegrenade	163.258102 -156.048706 66.891602	2.717 -0.129 -2.756
weapon_ttt_smokegrenade	1039.365967 2541.417236 161.544724	21.989 -56.640 -88.962
weapon_ttt_smokegrenade	1039.327026 2536.019775 161.609619	19.044 53.117 -90.113
weapon_ttt_smokegrenade	1037.888916 2528.862793 160.125168	-0.914 -1.488 -1.543
weapon_ttt_smokegrenade	-872.038513 1327.764282 -110.470345	16.326 33.412 -89.998
weapon_ttt_smokegrenade	-873.071289 1320.751465 -111.843605	-2.383 -1.214 -1.716
weapon_ttt_smokegrenade	-877.871765 1328.806641 -110.306274	19.349 49.217 -90.469
weapon_ttt_smokegrenade	-152.959961 918.826172 2.094581	-25.212 31.019 87.791
weapon_ttt_smokegrenade	-392.418976 26.983013 2.490769	2.528 -52.185 -91.753
weapon_ttt_smokegrenade	-393.398315 38.350750 2.470722	-50.418 -57.541 -87.692
weapon_ttt_smokegrenade	-443.446594 -3.328778 3.881852	21.270 -50.100 -89.816
weapon_ttt_smokegrenade	1766.021606 2244.022217 65.380432	19.359 -82.649 112.582
weapon_ttt_smokegrenade	1768.402100 2239.406250 66.237000	24.954 80.662 -113.249
weapon_ttt_smokegrenade	1646.080322 2192.962402 30.265533	24.397 -82.595 105.673
weapon_ttt_smokegrenade	1698.081665 2032.518066 39.683498	26.795 89.132 -104.421
weapon_ttt_smokegrenade	1688.678711 1982.790161 39.554413	27.186 -93.377 105.866
weapon_ttt_smokegrenade	1681.080444 1968.558472 38.705578	32.948 -135.430 112.498
weapon_ttt_smokegrenade	1676.831421 1922.065186 41.689625	23.045 -87.242 113.908
weapon_ttt_smokegrenade	1674.018188 1831.715210 35.070637	17.769 77.946 -105.161
weapon_ttt_smokegrenade	301.679077 2641.108398 97.677803	7.089 53.769 -90.086
weapon_ttt_smokegrenade	274.523041 2057.522217 97.995285	21.575 32.781 89.967
weapon_ttt_smokegrenade	-626.292053 408.166534 10.059914	-29.814 -48.196 96.260
weapon_ttt_smokegrenade	-630.151306 513.487793 12.168863	25.538 27.388 98.414
weapon_ttt_smokegrenade	-1951.768555 529.094849 64.167709	-0.624 -1.722 -0.950
weapon_ttt_smokegrenade	-1945.822144 533.603149 65.477089	19.267 48.538 -89.340
weapon_ttt_smokegrenade	-1951.704468 559.086060 33.614738	19.180 38.638 -89.953
weapon_ttt_pump	-258.015289 2288.961670 -120.621704	4.234 -1.802 -95.951
ttt_random_weapon	-1759.352051 -93.424896 9.166600	4.087 8.741 -99.852
ttt_random_weapon	-1482.277588 25.368500 97.209702	1.766 4.772 -92.847
ttt_random_weapon	-1871.078857 562.377380 33.222900	1.617 4.988 -93.189
ttt_random_weapon	-2166.704834 1053.350708 33.224701	1.596 4.987 -93.236
ttt_random_weapon	-1629.675659 1776.262207 45.654301	6.022 -94.945 -90.721
ttt_random_weapon	-2068.140625 2485.020752 89.497803	1.946 4.720 -92.435
ttt_random_weapon	-2013.891113 3061.607666 33.193100	1.952 4.926 -92.420
ttt_random_weapon	-1395.200195 2631.865723 113.220100	1.648 4.764 -93.117
ttt_random_weapon	-869.986206 2399.655273 -72.814301	11.985 -11.024 83.419
ttt_random_weapon	560.357422 2373.769287 41.162102	2.199 3.681 -92.258
ttt_random_weapon	971.483398 2469.844482 97.216202	1.692 4.925 -93.016
ttt_random_weapon	-414.266113 -78.382401 4.427400	4.372 3.129 -94.793
ttt_random_weapon	-1746.232056 -286.362000 187.509598	1.814 4.712 -92.737
ttt_random_weapon	-1666.854370 -219.002106 187.503296	1.884 4.716 -92.576
ttt_random_weapon	-1748.632690 -217.380096 187.504105	1.876 4.716 -92.595
ttt_random_weapon	85.816124 2349.792725 -124.654587	5.326 -30.664 -94.385
ttt_random_weapon	82.770462 2507.990479 -108.002487	7.443 -6.902 97.370
ttt_random_weapon	265.040710 2484.051758 -116.490044	-4.646 -3.759 97.700
item_ammo_smg1_ttt	1750.157349 332.271912 64.521400	-0.220 0.014 -0.192
item_ammo_smg1_ttt	1735.004639 331.321991 64.422302	0.471 -0.004 0.304
item_ammo_smg1_ttt	1720.037964 331.274414 64.426498	0.591 -0.003 0.384
item_ammo_smg1_ttt	314.670807 471.753906 11.557700	6.327 92.879 -2.624
item_ammo_smg1_ttt	308.664001 451.805786 11.043200	-6.941 79.614 -6.599
item_ammo_smg1_ttt	-1376.054321 2789.161621 4.578100	0.474 -0.061 -0.715
item_ammo_smg1_ttt	-1395.242188 2790.097412 4.878000	1.713 0.088 -0.600
item_ammo_smg1_ttt	556.901184 2757.295898 96.492500	0.408 -0.436 -0.223
item_ammo_smg1_ttt	567.176208 2750.221191 101.959702	88.377 -3.871 -3.056
item_ammo_smg1_ttt	743.911499 2741.581055 97.978577	15.308 -3.243 -0.188
item_ammo_smg1_ttt	759.931946 2741.888916 96.488113	0.122 0.302 0.054
item_ammo_smg1_ttt	776.510376 2742.017334 101.994499	88.552 -5.592 -4.195
item_ammo_smg1_ttt	1542.831299 3039.323975 135.709488	-4.915 -3.342 -5.380
item_ammo_smg1_ttt	1557.203247 3031.514160 139.711334	-19.259 -3.311 -5.449
item_ammo_smg1_ttt	1277.143921 1505.093262 0.666805	-0.448 0.018 -0.021
item_ammo_smg1_ttt	1278.655151 1527.347900 0.729071	-0.217 -0.022 0.493
item_ammo_smg1_ttt	-2059.491943 2874.610840 88.834030	-0.141 1.695 -0.149
item_ammo_smg1_ttt	-2043.739136 2887.593994 88.790497	0.026 -0.544 -0.051
item_ammo_smg1_ttt	-2032.589355 2867.838623 88.808548	-0.188 0.349 -0.142
item_ammo_smg1_ttt	1233.516357 2568.539795 102.065231	-89.047 37.178 1.850
item_ammo_smg1_ttt	1247.638062 2561.244873 101.965935	88.405 -18.994 -3.055
item_ammo_smg1_ttt	1721.092285 1824.537598 45.806686	-6.534 7.536 10.254
item_ammo_smg1_ttt	1703.365967 1826.379761 42.004082	-14.299 -0.254 6.505
weapon_zm_molotov	-1163.193848 1201.169434 52.567001	3.169 -0.141 -3.256
weapon_zm_molotov	-1164.610840 1189.312622 52.509201	0.296 0.002 0.044
weapon_zm_molotov	976.853882 1199.731812 5.370700	3.331 -0.206 -3.191
weapon_zm_molotov	-1364.098267 1274.019775 33.772179	-39.756 -119.754 -88.854
weapon_zm_molotov	-1363.738525 1255.451538 34.045975	-84.376 107.200 43.309
weapon_zm_molotov	-1364.699341 1245.584229 33.987209	-81.754 -168.180 65.045
weapon_zm_molotov	-1037.774414 1529.442505 -110.580391	81.258 76.152 101.094
weapon_zm_molotov	-1021.692688 1529.039429 -110.599365	75.850 58.211 88.636
weapon_zm_molotov	-1032.648682 1533.152710 -110.460442	-7.100 -69.522 89.811
weapon_zm_molotov	-2154.157227 -467.190369 278.881226	-64.784 152.683 109.885
weapon_zm_molotov	-2028.797607 -569.258789 117.268600	69.441 -151.880 155.514
weapon_zm_molotov	-2037.268555 -656.547668 135.784607	-45.169 -79.948 -92.926
weapon_zm_molotov	-2008.188965 -505.904205 98.067131	-74.535 53.216 -154.250
weapon_zm_molotov	-2013.215698 -426.316284 79.314987	-7.879 134.504 108.561
ttt_playerspawn	190.664566 2441.328125 -125.083595	-0.307 -0.081 3.403
ttt_playerspawn	252.272568 2435.843018 -124.491501	-1.753 3.378 3.431
ttt_playerspawn	299.462891 2426.335693 -124.006561	-0.590 -2.431 5.030
ttt_playerspawn	354.301208 2420.803467 -124.243866	-0.003 0.757 4.503
ttt_playerspawn	397.833344 2427.045654 -123.827827	0.152 -0.091 5.048
ttt_playerspawn	-101.039162 2261.064453 -126.436188	-0.367 1.484 -2.105
ttt_playerspawn	-37.341694 2019.050903 -124.990005	0.708 -0.310 1.266
ttt_playerspawn	276.240234 2069.355225 -125.412231	-0.265 0.111 -0.627
ttt_playerspawn	1654.852173 344.429962 64.564362	0.014 0.000 -0.013
ttt_playerspawn	653.059143 1176.492432 4.567888	-0.252 -0.081 -0.593
ttt_playerspawn	664.310120 -159.798340 11.274377	-5.408 1.053 2.797
ttt_playerspawn	388.910583 -794.267151 3.421263	1.344 -0.284 -4.840
ttt_playerspawn	-627.664978 -817.481934 134.366119	0.699 -0.060 2.319
ttt_playerspawn	-709.306152 -814.061584 134.093109	-2.156 -0.162 1.941
ttt_playerspawn	-770.799500 -813.085999 131.435272	-3.697 7.137 1.762
ttt_playerspawn	-2152.895020 -755.395874 130.024536	-1.206 0.023 -0.762
ttt_playerspawn	-1373.288208 -388.207733 132.001007	-1.933 0.413 0.170
ttt_playerspawn	-1311.842773 -383.062378 131.893127	2.054 -0.058 0.383
ttt_playerspawn	-1241.798706 -374.432007 129.700058	1.180 0.501 0.312
ttt_playerspawn	-1902.627808 624.339722 32.493805	0.050 -0.000 -0.050
ttt_playerspawn	-2185.935059 1200.488159 32.499882	0.042 -0.000 -0.042
ttt_playerspawn	-2057.347412 3005.661377 32.540188	0.028 0.000 -0.028
ttt_playerspawn	484.341370 1770.348877 0.503575	0.046 -0.000 -0.046
ttt_playerspawn	-1204.398682 2546.627441 38.164307	3.171 -1.109 0.045
ttt_playerspawn	-485.218292 -384.520477 3.870718	-3.937 0.492 0.546
ttt_playerspawn	222.524796 455.400208 8.791989	-0.742 0.246 6.588
ttt_playerspawn	1435.234131 197.419678 -190.189240	-0.226 -0.004 0.379
ttt_playerspawn	1134.713623 2467.383057 96.514397	-0.037 0.000 -0.037
ttt_playerspawn	469.839874 2752.104980 96.508553	0.038 -0.000 -0.038
ttt_playerspawn	-116.497597 1533.724243 0.531379	-0.038 0.000 -0.038
ttt_playerspawn	-1190.947998 1338.526489 -111.428741	0.013 0.000 -0.015
ttt_playerspawn	-645.127136 452.480408 7.333661	-0.820 0.224 -0.684
weapon_ttt_mp5	1513.032349 3043.961182 135.417847	0.535 7.219 -93.899
weapon_ttt_mp5	-2063.025879 2850.624512 89.494263	1.148 -15.059 85.681
item_box_buckshot_ttt	-2177.713379 -838.766174 130.088303	-0.628 0.171 -1.230
item_box_buckshot_ttt	-2178.577637 -826.088074 129.912201	-0.863 -0.135 -0.145
item_box_buckshot_ttt	-2178.966553 -812.324524 129.848999	-0.850 -0.149 -0.161
item_box_buckshot_ttt	760.676514 1198.014648 0.778100	3.082 0.258 -0.171
item_box_buckshot_ttt	760.879211 1186.888184 0.858200	2.947 0.187 -0.882
item_box_buckshot_ttt	751.614380 1190.648071 1.204900	3.108 -0.671 -0.490
item_box_buckshot_ttt	1024.922363 323.444214 8.340200	-55.091 34.418 -86.970
item_box_buckshot_ttt	1017.946472 320.277405 11.293400	-43.835 -140.725 176.867
item_box_buckshot_ttt	-228.863602 1519.513916 0.382500	-0.435 0.000 0.440
item_box_buckshot_ttt	-217.693802 1521.262817 0.378000	0.291 0.003 -0.149
item_box_buckshot_ttt	-602.966919 620.085327 19.527901	3.865 1.623 -6.451
item_box_buckshot_ttt	-590.880981 623.717896 18.749100	11.526 -0.064 -0.222
item_box_buckshot_ttt	756.241028 -8.578200 13.728100	-4.911 0.716 -3.652
item_box_buckshot_ttt	745.796326 24.317600 10.721800	-5.274 -0.084 -3.653
item_box_buckshot_ttt	1041.438232 267.718445 1.387718	-0.951 -10.145 0.220
item_box_buckshot_ttt	1049.533447 272.204346 1.379589	-0.799 0.017 -0.270
item_box_buckshot_ttt	1057.427490 281.136719 1.443512	1.238 2.486 -0.475
item_box_buckshot_ttt	-264.630890 2280.407227 -121.760605	-5.178 1.446 -5.534
item_box_buckshot_ttt	-276.559265 2283.993652 -123.302818	-5.439 0.205 -5.504
item_box_buckshot_ttt	-241.638016 2278.648682 -122.080971	4.566 -0.460 -5.711
item_box_buckshot_ttt	-1713.139038 1610.182007 23.314407	4.395 -0.212 -6.373
item_box_buckshot_ttt	-1704.366821 1613.237915 22.247387	4.894 0.195 -6.480
item_ammo_357_ttt	-500.148102 -183.684906 64.352097	0.444 0.057 0.042
item_ammo_357_ttt	-478.248810 -183.866806 64.338898	0.440 0.062 0.046
item_ammo_357_ttt	-462.295502 -183.487793 64.338898	0.440 0.062 0.046
item_ammo_357_ttt	673.328613 -99.413803 11.197100	-3.484 -0.269 -2.444
item_ammo_357_ttt	672.671570 -109.897202 11.546900	-3.375 -0.301 -2.415
