# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_inferno
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	414.783234 -223.939301 226.877304	-1.491 -8.817 -99.896
weapon_ttt_smokegrenade	96.240700 15.574800 207.406601	-0.004 -9.301 0.011
weapon_ttt_smokegrenade	1123.991577 -125.383202 276.600494	3.355 -0.122 -3.512
weapon_ttt_smokegrenade	288.932404 361.063812 26.373400	-6.695 0.078 -2.895
weapon_ttt_smokegrenade	1318.009155 1225.460327 165.079498	38.688 -160.911 -93.865
weapon_ttt_smokegrenade	1587.513794 1821.774170 164.605103	2.241 -0.127 -2.325
weapon_ttt_smokegrenade	2241.418701 2052.560791 164.562805	3.433 -0.131 -3.555
weapon_ttt_smokegrenade	2613.894531 1397.267334 232.543900	2.444 -0.006 -2.278
weapon_ttt_smokegrenade	2484.101563 940.697815 164.615295	1.965 -0.119 -2.039
weapon_ttt_smokegrenade	2212.161377 -415.809387 101.752899	5.425 1.378 -109.779
item_ammo_smg1_ttt	1858.348755 689.176880 160.527802	-0.191 0.016 -0.166
item_ammo_smg1_ttt	1827.010132 626.596924 160.505295	-0.595 0.010 -0.456
item_ammo_smg1_ttt	1814.308105 691.614624 160.396805	0.136 0.005 -0.079
item_ammo_smg1_ttt	991.855530 -546.901672 256.411194	0.266 -0.005 0.167
item_ammo_smg1_ttt	1045.523438 -539.661316 256.411194	0.267 -0.005 0.167
item_ammo_smg1_ttt	993.203125 -503.269196 256.422302	0.476 -0.004 0.308
item_ammo_smg1_ttt	26.480900 3120.303223 160.420197	0.421 -0.004 0.271
item_ammo_smg1_ttt	111.147202 3118.235840 160.526199	-0.196 0.016 -0.171
item_ammo_smg1_ttt	58.625999 3127.710938 160.389099	0.098 -0.005 0.053
item_ammo_smg1_ttt	-899.381226 -392.624115 16.826900	-0.599 -0.003 -0.350
item_ammo_smg1_ttt	-896.353027 -419.460205 16.941099	0.186 0.019 0.157
item_ammo_smg1_ttt	-895.708374 -339.368805 16.939100	0.229 0.011 0.204
item_ammo_smg1_ttt	1868.662720 2248.434326 162.787399	-0.006 0.278 10.310
item_ammo_smg1_ttt	1848.469971 2245.698975 162.449402	0.242 0.561 8.325
item_ammo_smg1_ttt	1825.155273 2245.703369 162.481598	0.183 0.557 8.287
