# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_nuke
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	840.546875 -395.058777 -412.996246	-0.711 -8.213 -86.384
weapon_ttt_awp	1070.561157 -997.084534 -102.697021	3.812 137.751 64.670
weapon_ttt_awp	2817.628662 -624.260071 -40.966175	0.732 7.794 84.411
weapon_ttt_awp	2351.570801 -1750.724976 -216.157120	15.481 9.455 89.970
weapon_ttt_smokegrenade	1282.094360 -511.150177 -189.299377	24.195 15.658 95.990
weapon_ttt_smokegrenade	1297.870850 -519.726563 -190.182129	23.554 15.511 95.767
weapon_ttt_smokegrenade	1311.308228 -520.882935 -190.297073	24.304 15.683 96.029
weapon_ttt_smokegrenade	1893.412476 -2121.887207 -415.849457	-1.700 -1.375 -1.723
weapon_ttt_smokegrenade	1972.857788 -2077.208496 -415.863708	-1.999 -1.232 -2.037
weapon_ttt_smokegrenade	1976.261597 -1977.588257 -415.840454	-1.503 -1.457 -1.530
weapon_ttt_smokegrenade	1954.092773 -1882.560303 -415.841522	-1.525 -1.456 -1.553
weapon_ttt_smokegrenade	1917.791260 -1840.528442 -415.849518	-1.694 -1.375 -1.728
weapon_ttt_pump	-1193.889282 -1292.655640 -414.912598	0.925 14.546 80.838
ttt_random_weapon	-1146.869263 -1219.285889 -344.080292	1.616 3.085 -93.190
ttt_random_weapon	-1173.025879 -1196.399170 -355.888214	1.812 4.266 -92.742
ttt_random_weapon	-1179.319946 -1248.050537 -362.669586	1.571 2.269 -93.292
ttt_random_weapon	3416.860840 -908.712219 -326.223999	1.857 4.928 -92.638
ttt_random_weapon	3285.197266 -933.358887 -322.453400	1.991 3.830 -92.331
ttt_random_weapon	3300.460693 -786.382507 -322.792603	1.981 1.888 -92.354
ttt_random_weapon	3391.224854 -746.809021 -325.627014	1.646 5.801 -93.121
ttt_random_weapon	3297.689209 -625.061523 -311.599609	1.916 3.169 -92.503
ttt_random_weapon	1911.417603 -852.714172 -350.774689	1.590 4.919 -93.250
ttt_random_weapon	2345.562744 -2298.821045 -638.757813	1.141 4.178 -95.257
ttt_random_weapon	1434.102295 -2377.471191 -638.801270	1.890 4.927 -92.563
ttt_random_weapon	1421.800049 -1879.790894 -638.816895	2.064 4.395 -92.163
ttt_random_weapon	936.332886 -292.471985 -623.474182	1.809 10.482 -92.748
ttt_random_weapon	388.934998 -1298.033569 -638.806213	1.944 4.637 -92.439
ttt_random_weapon	46.577408 -1011.464966 -766.772339	1.311 3.833 -93.863
ttt_random_weapon	1082.176514 -2038.756836 -638.776184	1.606 4.920 -93.213
ttt_random_weapon	1735.743042 -2382.257568 -638.832275	1.873 4.446 -92.183
ttt_random_weapon	2345.530518 -2327.448486 -638.755676	1.209 4.187 -94.754
ttt_random_weapon	2442.187988 -1410.571411 -414.786285	1.720 4.926 -92.952
ttt_random_weapon	1072.939697 -1054.697144 -414.793091	1.798 4.929 -92.775
ttt_random_weapon	1412.751465 -2339.151123 -413.928314	-2.173 1.924 -81.529
ttt_random_weapon	-339.844299 -1245.523071 -414.779694	1.646 4.922 -93.121
ttt_random_weapon	-1758.225220 -1343.672363 -397.156097	1.934 -3.627 -92.462
ttt_random_weapon	-2340.722900 -1218.675049 -414.782806	1.681 4.924 -93.041
weapon_ttt_dualelite	866.292480 -410.448151 -415.940399	3.835 3.863 1.472
weapon_ttt_dualelite	2109.400391 -2357.961914 -415.936523	2.093 0.200 -0.688
weapon_ttt_dualelite	19.937386 -925.648560 -767.913879	1.271 -0.046 -0.031
weapon_ttt_dualelite	1127.742798 -539.533997 -192.139999	-0.867 -171.451 174.891
weapon_ttt_dualelite	1192.019043 -535.797913 -193.819077	1.352 -2.914 5.130
item_ammo_smg1_ttt	231.541901 -955.472229 -287.511108	-0.122 0.018 -0.109
item_ammo_smg1_ttt	196.433197 -956.142029 -287.576202	-0.020 -0.032 0.015
item_ammo_smg1_ttt	213.140305 -897.120483 -287.610901	0.098 -0.005 0.054
item_ammo_smg1_ttt	2403.939453 -1762.090088 -415.613586	0.088 -0.005 0.046
item_ammo_smg1_ttt	2397.593994 -1726.670898 -415.474915	-0.201 0.016 -0.176
item_ammo_smg1_ttt	2446.131836 -1773.796143 -415.595795	0.189 -0.005 0.115
item_ammo_smg1_ttt	1142.301636 -647.817810 -415.577698	0.472 -0.004 0.305
item_ammo_smg1_ttt	1162.036377 -653.943298 -415.482910	-0.267 0.014 -0.229
item_ammo_smg1_ttt	1163.940674 -693.842773 -415.497803	-0.802 0.012 -0.595
item_ammo_smg1_ttt	-199.518555 -1412.779541 -415.575562	0.534 -0.004 0.346
item_ammo_smg1_ttt	-184.096909 -1422.924316 -415.493835	-0.534 0.009 -0.413
item_ammo_smg1_ttt	-165.015244 -1401.963135 -415.513947	1.259 -0.057 -0.287
item_ammo_smg1_ttt	-242.018127 -811.934326 -415.454010	-0.061 1.315 0.080
item_ammo_smg1_ttt	-229.870682 -829.416992 -415.472412	0.477 -0.696 -0.074
item_ammo_smg1_ttt	-226.206085 -850.677490 -406.322266	0.575 -0.122 87.906
weapon_ttt_m16	136.497101 -819.240784 -94.840797	2.037 -8.139 84.294
weapon_ttt_m16	391.426392 -1080.898926 -267.010010	12.564 24.117 90.048
weapon_ttt_m16	1206.678223 -825.664001 -295.853210	1.891 11.515 -84.876
weapon_ttt_m16	1432.026489 -1947.443848 -196.113693	-21.316 -28.347 97.920
ttt_playerspawn	420.662628 -463.535645 -639.473877	-0.022 0.000 0.022
ttt_playerspawn	770.172058 -479.706482 -639.486267	-0.026 -0.000 0.026
