# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_piranesi
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-521.682739 75.863235 103.249100	-9.574 -3.878 -93.107
weapon_ttt_awp	77.718697 114.822762 515.087219	-0.349 -8.318 -85.782
weapon_ttt_awp	-746.778442 2364.523926 513.138306	0.926 -8.167 -84.577
weapon_ttt_awp	2147.018799 751.922546 565.518311	4.531 6.312 115.790
weapon_ttt_awp	-38.322342 1273.343140 172.574783	2.546 6.519 98.138
weapon_ttt_smokegrenade	147.875198 151.197693 260.534912	1.401 0.011 -1.211
weapon_ttt_smokegrenade	146.723602 163.307800 260.525604	0.632 0.009 -0.347
weapon_ttt_smokegrenade	157.954102 185.912201 -62.363899	-11.026 174.794 90.021
weapon_ttt_smokegrenade	-597.088806 2390.998779 148.564697	3.382 -0.130 -3.502
weapon_ttt_smokegrenade	-1696.718628 2354.312012 224.151718	-1.672 -1.412 -1.698
weapon_ttt_smokegrenade	-1745.831665 1952.853516 162.086639	7.649 153.458 -113.144
weapon_ttt_smokegrenade	-1367.834839 1503.303589 130.236847	17.218 -14.184 -118.038
weapon_ttt_smokegrenade	-1412.493164 677.387207 180.505981	42.417 -59.752 -76.016
weapon_ttt_smokegrenade	-1080.304932 877.256470 347.260651	17.446 -14.365 -118.269
weapon_ttt_smokegrenade	-478.321838 329.118561 513.644714	0.038 34.080 -89.995
weapon_ttt_smokegrenade	-160.598358 347.240540 512.172852	-1.218 -1.521 -1.239
weapon_ttt_smokegrenade	287.891937 214.629974 514.000000	-26.734 -0.032 86.186
weapon_ttt_smokegrenade	581.915222 -368.133514 85.250313	25.561 -87.334 118.666
weapon_ttt_smokegrenade	27.536779 -592.116394 -69.967621	22.096 -53.417 89.927
weapon_ttt_smokegrenade	-372.674896 -385.237915 128.172943	-1.845 -1.408 -1.327
weapon_ttt_smokegrenade	-267.729279 -220.792252 44.156765	15.790 110.970 117.005
weapon_ttt_pump	1411.643066 -44.221481 161.422318	-0.331 18.366 -89.795
ttt_random_weapon	-1081.503174 1265.181030 113.199409	1.882 4.926 -92.582
ttt_random_weapon	-876.331726 692.661865 193.215256	1.703 4.926 -92.991
ttt_random_weapon	-1930.964111 30.320650 161.184036	2.055 4.631 -92.185
ttt_random_weapon	-2861.257813 86.737396 171.902603	17.540 7.878 -90.898
ttt_random_weapon	-2518.890625 -246.176346 153.198669	1.890 4.927 -92.563
ttt_random_weapon	-1297.478149 1195.336670 299.657196	16.691 32.308 -115.591
ttt_random_weapon	-1094.151489 1470.375610 107.611427	1.930 5.754 -94.537
weapon_ttt_dualelite	-871.923401 358.037964 448.025085	1.984 0.146 -0.429
weapon_ttt_dualelite	-162.181244 151.556732 527.985718	1.982 0.157 -0.063
weapon_ttt_dualelite	789.292847 -464.202454 127.992989	1.880 0.157 -0.310
weapon_ttt_dualelite	-1040.225708 1236.480713 112.052086	0.867 22.849 -0.482
item_ammo_smg1_ttt	-1271.094238 -20.204399 151.977905	0.473 -0.006 0.302
item_ammo_smg1_ttt	-1426.406982 303.686493 448.427795	-0.265 -6.697 -0.054
