# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_port
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	2667.731445 -700.738464 276.968323	-2.719 -44.766 167.821
weapon_ttt_awp	-736.844299 1600.308594 1280.432129	0.853 6.982 84.451
weapon_ttt_awp	-3051.808350 -1515.435059 1070.439087	0.734 8.534 84.694
weapon_ttt_awp	1892.275146 -66.325378 1184.818481	0.823 10.120 84.552
weapon_ttt_smokegrenade	-1637.215454 438.350006 516.582214	2.909 -0.130 -3.008
weapon_ttt_smokegrenade	-1615.424194 443.622498 516.580017	2.943 -0.132 -3.040
weapon_ttt_smokegrenade	-1579.508179 470.851013 516.601685	2.356 -0.127 -2.432
weapon_ttt_smokegrenade	-229.444595 -941.089722 644.592590	2.617 -0.134 -2.704
weapon_ttt_smokegrenade	455.344696 834.817383 964.558289	3.518 -0.113 -3.661
weapon_ttt_smokegrenade	1781.376587 365.402100 694.534912	1.399 0.011 -1.210
weapon_ttt_smokegrenade	-153.489594 3750.438965 516.503906	0.272 0.003 0.094
weapon_ttt_smokegrenade	-145.551697 3811.856934 516.506470	0.287 0.003 0.072
weapon_ttt_smokegrenade	-159.397095 3911.318115 516.576599	3.031 -0.136 -3.130
weapon_ttt_smokegrenade	-111.078400 3845.304443 516.617920	1.880 -0.119 -1.936
weapon_ttt_smokegrenade	-118.370102 3776.912354 516.536072	1.663 0.008 -1.502
weapon_ttt_smokegrenade	-98.971397 3895.418457 516.614502	1.956 -0.119 -2.012
weapon_ttt_smokegrenade	14.448800 -1955.373535 771.090576	-1.840 -0.766 0.868
weapon_ttt_smokegrenade	973.814819 -3137.955322 773.413818	2.365 -1.282 -1.921
ttt_random_weapon	-1419.229248 -482.025513 526.938477	1.720 0.966 -92.952
ttt_random_weapon	-2938.478027 126.362396 655.818115	2.150 5.809 -91.973
ttt_random_weapon	-1951.531494 -460.326691 524.740479	2.141 4.873 -91.995
ttt_random_weapon	1118.015625 188.995300 657.285278	-2.398 2.610 -91.299
ttt_random_weapon	-1291.252686 51.705399 526.568970	2.173 4.765 -91.931
ttt_random_weapon	284.708496 -1982.436646 772.523926	2.156 2.713 -90.773
ttt_random_weapon	545.083618 -1952.366699 772.645874	1.543 3.645 -91.042
ttt_random_weapon	1075.624268 -2005.875244 769.835327	1.684 4.476 -92.199
ttt_random_weapon	-1729.399170 693.345581 513.199402	1.882 4.926 -92.582
ttt_random_weapon	-336.621796 1543.542969 513.221497	1.632 4.410 -93.153
ttt_random_weapon	873.836121 824.630371 664.360718	4.658 5.754 -95.915
ttt_random_weapon	2073.710938 959.377502 528.765808	0.793 -0.821 -93.640
item_ammo_smg1_ttt	930.362976 -547.112122 448.486511	-0.075 -0.027 0.396
item_ammo_smg1_ttt	920.192200 -512.215515 448.505493	-0.732 -0.033 0.756
item_ammo_smg1_ttt	937.928589 -481.513092 448.496307	-0.518 -0.031 0.647
weapon_ttt_m16	-499.604187 387.768097 641.270020	2.037 -8.137 84.294
weapon_ttt_m16	1011.476929 -3185.833740 769.161682	2.290 -8.272 84.227
weapon_ttt_m16	239.939499 1603.237793 641.270020	2.037 -8.139 84.294
weapon_ttt_m16	1693.404785 431.424286 691.175598	2.217 -8.225 84.426
ttt_playerspawn	-1822.563599 -798.218140 512.493042	0.041 -0.000 -0.041
