# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_train
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-2050.414063 1469.561768 11.981544	13.937 8.239 86.147
weapon_ttt_awp	-894.895752 1368.221802 27.741421	0.847 -4.887 -85.141
weapon_ttt_smokegrenade	1845.960327 -809.724915 -327.867432	-1.342 -1.330 -1.150
weapon_ttt_smokegrenade	1986.950562 -1051.896484 -323.835388	-1.394 -1.486 -1.419
weapon_ttt_pump	1454.607910 -1481.444458 -322.479523	-0.619 -8.937 -89.604
ttt_random_weapon	1818.426147 97.367599 -214.802902	1.907 4.928 -92.523
ttt_random_weapon	1356.072510 -158.803299 -214.770203	1.124 -10.540 -94.019
ttt_random_weapon	955.104919 68.172203 -196.735596	-1.625 -103.457 84.384
ttt_random_weapon	285.362000 490.255615 -66.527901	1.062 -2.126 -93.814
ttt_random_weapon	-55.722198 31.879000 -115.248001	1.952 83.415 -89.317
ttt_random_weapon	-484.754486 -31.948099 -214.725204	1.515 96.752 -94.894
ttt_random_weapon	-965.023987 -449.680695 17.202999	1.842 4.927 -92.673
ttt_random_weapon	-581.051575 691.536377 125.733498	1.441 62.663 -92.928
ttt_random_weapon	-748.585999 347.276886 37.441502	-1.476 63.427 83.930
ttt_random_weapon	-885.956970 1118.530273 -214.792099	1.786 4.916 -92.802
ttt_random_weapon	-778.350220 1638.395874 -220.386703	7.562 19.850 91.263
ttt_random_weapon	-73.859200 1721.689819 -102.796997	1.842 4.927 -92.673
ttt_random_weapon	-464.099396 1279.216064 -102.007004	-10.985 -12.907 98.711
ttt_random_weapon	199.815598 1251.181763 -214.801300	1.890 4.927 -92.563
ttt_random_weapon	277.562592 657.866028 41.214600	1.711 4.703 -92.974
ttt_random_weapon	-71.957703 -1524.000732 -358.799103	1.865 4.929 -92.619
ttt_random_weapon	-473.368988 -1417.317139 -350.766693	1.154 -152.358 -94.092
ttt_random_weapon	-401.759491 -1672.022705 -102.802101	1.899 4.927 -92.543
ttt_random_weapon	1961.425781 -1764.628052 -321.241089	-4.940 -1.336 1.688
ttt_random_weapon	1726.017334 -1278.542725 -310.122803	-58.869 7.611 96.563
ttt_random_weapon	-1983.902588 1269.348145 -208.749893	13.034 -6.146 93.437
ttt_random_weapon	-1988.105103 1778.356934 -203.226501	13.690 -2.626 102.753
ttt_random_weapon	1860.772095 588.795288 -214.789505	1.757 4.928 -92.867
ttt_random_weapon	609.184570 -508.787292 -171.327499	1.451 -19.365 -92.850
ttt_random_weapon	-462.229492 372.429596 -224.017303	8.240 18.708 90.833
