# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_assault
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	5405.201660 4504.975586 -382.891083	-0.913 -4.706 -96.542
weapon_ttt_smokegrenade	5339.994141 7208.120117 -859.403870	2.492 -0.127 -2.569
weapon_ttt_smokegrenade	5720.294434 5884.712891 -826.549927	0.681 0.009 -0.311
weapon_ttt_smokegrenade	5419.960938 5580.384766 -859.406006	2.516 -0.129 -2.589
weapon_ttt_smokegrenade	6377.350586 5018.479004 -859.476624	0.552 0.007 -0.255
weapon_ttt_smokegrenade	6655.783691 4363.466309 -857.206970	2.183 -0.177 5.841
weapon_ttt_smokegrenade	6948.690918 7159.683594 -859.465088	1.404 0.011 -1.214
weapon_ttt_smokegrenade	7329.701172 5151.274902 -527.418091	0.356 -1.519 1.756
weapon_ttt_smokegrenade	6177.574707 3720.644043 -734.396973	77.734 -132.112 -90.026
weapon_ttt_smokegrenade	5218.488281 4245.122070 -603.491211	0.290 0.002 0.031
weapon_ttt_smokegrenade	6739.030273 4145.435547 -603.409912	2.698 -0.132 -2.808
weapon_ttt_smokegrenade	6756.171875 4020.356445 -607.817078	-1.718 -1.464 -0.939
weapon_ttt_smokegrenade	6750.447266 4026.543701 -606.210938	-47.508 40.813 -87.738
weapon_ttt_pump	6927.488281 6097.089355 -862.809265	-0.561 11.480 88.082
ttt_random_weapon	5192.246582 4260.278320 -591.772583	1.740 2.286 -92.906
ttt_random_weapon	5041.074707 4690.737793 -597.299927	1.836 3.395 -92.686
ttt_random_weapon	5863.854980 3960.985596 -673.409973	1.991 5.709 -92.486
ttt_random_weapon	6220.065430 4080.101563 -567.539490	0.632 8.992 -93.829
ttt_random_weapon	6132.395020 4811.853516 -594.610413	2.805 44.972 -92.760
ttt_random_weapon	6099.976563 4739.317871 -593.208923	-5.877 -47.622 -96.892
ttt_random_weapon	5918.030762 5496.824707 -855.506714	1.916 5.370 -92.504
ttt_random_weapon	6731.063477 5032.875000 -606.796570	1.836 4.714 -92.686
ttt_random_weapon	5229.445801 4467.356934 -361.957092	1.087 18.227 74.688
ttt_random_weapon	4906.411621 4779.275879 -714.705688	1.667 6.458 -93.073
ttt_random_weapon	6390.550781 4914.037598 -719.509521	1.791 -6.272 -92.790
ttt_random_weapon	5418.281738 4012.608643 -708.442322	2.022 5.704 -92.423
ttt_random_weapon	5137.276367 3807.512695 -725.395630	1.286 11.175 -93.611
ttt_random_weapon	7381.074707 4268.379395 -511.465210	1.629 4.324 -93.160
ttt_random_weapon	7379.687012 5641.736816 -508.315796	1.829 7.527 -92.702
ttt_random_weapon	6514.262207 7193.248047 -847.343018	1.532 7.334 -93.384
ttt_random_weapon	5924.381836 5554.687500 -606.779724	1.646 4.922 -93.121
ttt_random_weapon	6683.153809 6640.854492 -870.806396	1.947 4.620 -92.432
weapon_ttt_dualelite	7345.409668 6012.030273 -513.922119	7.420 0.088 0.570
weapon_ttt_dualelite	6791.410645 4185.370117 -607.966797	1.966 4.467 0.907
item_ammo_smg1_ttt	7225.366699 5463.639160 -852.263672	7.986 0.746 5.254
