# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_havana
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	426.225769 1273.714722 284.892517	-0.335 -9.238 -86.110
weapon_ttt_smokegrenade	28.529699 -351.958588 70.384201	5.270 -0.033 1.253
weapon_ttt_smokegrenade	83.224197 158.357803 24.577900	2.978 -0.135 -3.071
weapon_ttt_smokegrenade	959.716125 1008.998413 260.518799	0.435 0.004 -0.117
weapon_ttt_smokegrenade	17.676001 798.808716 252.629196	1.501 -0.110 -1.531
weapon_ttt_smokegrenade	-753.620605 1765.365967 244.529907	0.831 0.012 -0.585
weapon_ttt_smokegrenade	559.539673 1925.923218 260.613098	1.960 -0.116 -2.003
weapon_ttt_smokegrenade	101.663002 1993.023560 20.523399	0.552 0.007 -0.255
weapon_ttt_smokegrenade	-221.371902 1029.176758 24.535601	2.867 -0.017 -2.833
weapon_ttt_smokegrenade	1202.801514 1121.922241 4.527700	0.731 0.010 -0.460
weapon_ttt_smokegrenade	335.185913 1146.181763 36.559502	3.460 -0.129 -3.572
weapon_ttt_smokegrenade	1484.491455 928.481934 17.694965	19.059 37.924 -90.690
weapon_ttt_smokegrenade	1485.084839 919.324402 17.593313	18.854 69.892 -89.531
weapon_ttt_smokegrenade	1483.934448 914.862183 17.756969	23.923 64.566 -90.782
weapon_ttt_pump	934.221680 -269.473083 33.190750	-0.561 10.698 88.082
ttt_random_weapon	-540.392395 1626.578735 268.674896	1.791 3.389 -92.791
ttt_random_weapon	-88.687202 814.398926 279.167389	1.845 -32.402 -92.667
ttt_random_weapon	374.485687 135.675598 291.065491	1.608 10.929 -93.208
ttt_random_weapon	546.798828 557.447571 274.301086	1.822 8.073 -92.719
ttt_random_weapon	709.007080 1038.105469 267.017792	1.842 8.227 -92.674
ttt_random_weapon	996.857788 1574.507813 132.893204	2.103 76.078 -92.622
ttt_random_weapon	42.870098 1818.802612 42.785599	-2.529 41.791 85.816
ttt_random_weapon	-433.984985 1908.630127 42.811798	1.872 4.431 -92.605
ttt_random_weapon	-364.448914 357.389404 265.742401	1.786 4.994 -92.801
ttt_random_weapon	49.150799 218.979599 43.121498	1.467 -49.027 -95.022
ttt_random_weapon	24.580000 351.571503 237.395493	2.131 7.091 -93.228
ttt_random_weapon	1143.075806 55.687977 17.197918	1.899 4.927 -92.543
ttt_random_weapon	726.446289 -27.291517 241.224121	1.509 3.763 -93.328
weapon_ttt_dualelite	66.103584 790.311340 32.079117	1.929 -0.512 -0.323
weapon_ttt_dualelite	1284.533691 520.693665 36.041691	-1.240 -0.246 -8.393
weapon_ttt_dualelite	759.160950 501.680878 255.991150	1.973 0.157 -0.064
item_ammo_smg1_ttt	-14.774300 2181.885986 16.521700	0.211 -0.196 -0.084
item_ammo_smg1_ttt	3.085700 2182.011475 16.500700	0.998 -0.123 -0.238
item_ammo_smg1_ttt	-216.602402 1396.355469 248.533905	-0.597 -1.708 -0.381
item_ammo_smg1_ttt	-213.961105 1373.438232 248.518799	-0.720 0.037 -0.175
item_ammo_smg1_ttt	920.609070 1894.023193 256.502686	-0.362 0.083 0.557
item_ammo_smg1_ttt	934.635620 1893.960449 256.501587	-0.166 0.026 0.505
item_ammo_smg1_ttt	956.069580 1238.210938 16.406601	0.213 -0.005 0.131
item_ammo_smg1_ttt	940.776428 1238.385498 16.401699	0.170 -0.005 0.102
item_ammo_smg1_ttt	-398.769287 894.853394 16.481501	-0.084 -0.002 -0.173
item_ammo_smg1_ttt	-396.348907 873.411011 16.529100	-0.295 -2.529 -0.431
item_ammo_smg1_ttt	461.487213 1113.572266 248.502502	-0.801 0.013 -0.598
item_ammo_smg1_ttt	976.581299 1087.793945 256.411194	0.269 -0.005 0.169
item_ammo_smg1_ttt	126.473000 1338.177002 248.496994	-1.198 0.203 -0.339
item_ammo_smg1_ttt	485.027405 800.683228 248.415802	0.337 -0.005 0.215
item_ammo_smg1_ttt	399.605103 112.835403 240.411194	0.267 -0.005 0.167
