# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_cbble
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	-1296.392090 2510.211182 353.079224	-25.277 -7.436 -81.166
weapon_ttt_awp	-656.057373 993.876465 193.221924	0.871 -8.051 -85.029
weapon_ttt_awp	422.526794 718.550781 225.166153	0.925 -8.295 -84.717
weapon_ttt_smokegrenade	-873.187927 26.165199 52.590801	2.642 -0.129 -2.742
weapon_ttt_smokegrenade	-880.822876 25.589600 52.595001	2.465 -0.127 -2.547
weapon_ttt_smokegrenade	-1123.627441 2586.665283 324.648285	-3.705 -1.423 -0.365
ttt_random_weapon	-1368.949097 -1369.742798 172.983795	1.901 3.838 -92.537
ttt_random_weapon	-1945.234253 -1991.033325 7.666600	2.159 2.400 -92.141
ttt_random_weapon	-1957.645874 -1487.022583 17.366400	2.134 3.052 -92.191
ttt_random_weapon	-1959.508423 -1277.728760 43.436501	1.784 1.848 -92.806
ttt_random_weapon	-1954.874146 -361.415405 10.774400	1.900 10.748 -94.204
ttt_random_weapon	-3033.254150 -1043.524658 52.437000	8.198 -12.461 -87.745
ttt_random_weapon	-2581.152100 -2115.469482 49.208698	1.777 4.928 -92.822
ttt_random_weapon	-3181.621582 -658.520081 1.231600	1.518 4.755 -93.415
ttt_random_weapon	-3118.669678 537.556885 1.200600	1.868 4.779 -92.613
ttt_random_weapon	-2948.937500 540.543823 1.199200	1.885 4.781 -92.575
ttt_random_weapon	-2796.124023 1539.299438 1.209300	1.770 4.927 -92.837
ttt_random_weapon	-2475.915527 2544.572510 33.200298	1.842 5.713 -92.793
ttt_random_weapon	-1165.708130 2611.695313 321.224396	1.600 4.987 -93.227
ttt_random_weapon	417.487488 2719.048584 9.203400	1.837 4.377 -92.683
ttt_random_weapon	-511.318512 415.491089 1.227400	1.566 4.758 -93.306
ttt_random_weapon	-991.667725 309.906708 1.208500	1.779 4.773 -92.817
ttt_random_weapon	-287.675690 -42.570301 1.217200	1.681 4.924 -93.041
ttt_random_weapon	558.007874 -380.521088 1.205000	1.819 4.928 -92.725
ttt_random_weapon	897.461426 -1491.791504 -108.371002	6.522 2.382 -99.761
item_ammo_smg1_ttt	906.989685 -1573.317993 0.475000	0.565 -0.014 0.256
item_ammo_smg1_ttt	991.835876 -1574.356445 0.404200	0.189 -0.005 0.115
item_ammo_smg1_ttt	1080.240112 -1575.498291 0.422300	0.477 -0.004 0.308
item_ammo_smg1_ttt	467.956207 -1342.474487 -119.645500	-0.733 -6.090 -7.220
item_ammo_smg1_ttt	-2119.937256 1545.109375 10.875000	-0.353 -0.054 0.197
item_ammo_smg1_ttt	-2100.761719 1561.166870 10.894900	0.291 -0.422 0.134
item_ammo_smg1_ttt	485.443909 2484.958252 -255.511993	-0.167 0.041 -0.145
item_ammo_smg1_ttt	525.696472 2440.244385 -255.501205	-0.851 0.013 -0.637
weapon_ttt_m16	-2542.499756 1127.642700 8.023700	-61.153 26.299 90.631
