# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	209.060959 1551.266602 129.092239	0.994 -8.280 -84.305
weapon_ttt_awp	-715.526245 -930.899109 164.668869	0.910 -8.203 -84.740
weapon_ttt_smokegrenade	-1969.771973 2875.149902 36.531700	0.995 0.012 -0.759
weapon_ttt_smokegrenade	-1302.705566 948.281677 36.510101	0.289 -0.160 -0.059
weapon_ttt_smokegrenade	1234.591431 3804.917725 68.599098	0.139 -0.227 -0.024
weapon_ttt_smokegrenade	-300.802185 3132.250977 84.011497	-5.388 2.057 -2.759
weapon_ttt_smokegrenade	-732.732422 -1830.074829 68.533203	1.170 0.012 -0.980
ttt_random_weapon	1887.074341 862.519104 95.178802	11.344 23.928 58.073
ttt_random_weapon	-1286.955933 705.658020 49.803001	2.005 5.086 -92.299
ttt_random_weapon	665.656372 2086.510498 13.205300	1.757 5.593 -92.691
ttt_random_weapon	442.160400 2861.738037 2.937600	4.237 0.635 -96.917
ttt_random_weapon	991.457275 3322.960938 33.187099	1.981 5.707 -92.506
ttt_random_weapon	942.700012 3193.265381 89.662300	2.034 72.191 -91.849
ttt_random_weapon	-581.250427 3370.681152 3.001000	2.546 7.478 -97.165
ttt_random_weapon	-1276.171875 1480.992798 1.192300	1.962 4.927 -92.398
ttt_random_weapon	-1066.005615 423.998901 33.198700	1.890 4.927 -92.563
ttt_random_weapon	-1091.226807 257.107086 33.202999	1.842 4.927 -92.673
ttt_random_weapon	-830.684204 -793.806580 1.163000	2.237 5.677 -91.980
ttt_random_weapon	-698.112183 -1490.406128 65.219299	1.658 5.892 -93.095
ttt_random_weapon	-50.569000 -1802.268311 65.184303	2.012 5.703 -92.444
ttt_random_weapon	334.879303 -1817.622192 65.215797	1.676 5.718 -93.134
ttt_random_weapon	707.521179 -1807.579590 65.200996	1.834 5.712 -92.809
ttt_random_weapon	365.861298 -1499.943481 65.206299	1.777 5.716 -92.926
ttt_random_weapon	-101.461601 -451.534302 17.247999	1.332 -19.923 -93.841
ttt_random_weapon	874.423828 423.807495 1.855000	1.002 6.800 -92.690
ttt_random_weapon	1691.556030 441.037994 6.241100	5.172 6.005 -91.319
ttt_random_weapon	1878.829956 429.681610 2.799900	0.907 6.739 -92.526
ttt_random_weapon	2109.082031 420.259186 4.720600	2.705 5.519 -91.827
