# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_prodigy
# Exported by: [CM:MOD] SilentK
setting:	replacespawns 1
weapon_ttt_awp	2154.482666 407.960571 -380.895355	-0.193 -7.288 -85.089
weapon_ttt_awp	3107.379883 -457.425659 -477.006622	-0.568 -2.548 -85.767
weapon_ttt_awp	393.216003 -554.831360 -52.265011	-3.727 4.367 86.247
weapon_ttt_awp	1938.543945 682.101318 -223.540237	-1.240 1.917 115.821
weapon_ttt_smokegrenade	1499.221924 -1330.058960 -475.375000	1.667 -0.117 -1.715
weapon_ttt_smokegrenade	2481.190918 898.768921 -361.816986	-1.110 -6.988 1.940
weapon_ttt_smokegrenade	2912.074219 -547.539917 -478.197296	-78.189 119.427 -90.796
weapon_ttt_smokegrenade	-42.055809 228.421402 -295.830811	-2.443 -1.076 -1.115
weapon_ttt_smokegrenade	9.736475 237.610962 -295.812958	-0.916 -1.552 -0.931
weapon_ttt_smokegrenade	209.403915 386.404541 -293.978149	25.596 23.540 90.630
weapon_ttt_smokegrenade	503.057312 771.909058 -293.907837	26.164 60.558 90.923
weapon_ttt_smokegrenade	583.625366 756.827759 -293.956329	25.739 -147.416 89.460
weapon_ttt_smokegrenade	157.189926 213.431854 -252.182678	17.765 8.037 -86.221
weapon_ttt_smokegrenade	104.891441 -378.615112 -246.595032	22.761 146.395 84.073
weapon_ttt_smokegrenade	61.817535 -427.577423 -239.814346	-1.275 -1.371 -1.131
weapon_ttt_pump	1856.857788 -1254.517090 -478.580414	-0.321 -11.816 -89.816
ttt_random_weapon	1869.496094 617.837402 -382.795685	1.827 4.929 -92.708
ttt_random_weapon	3240.953125 526.321472 -382.805206	1.934 4.925 -92.462
ttt_random_weapon	2627.842041 -701.409302 -478.773987	1.583 4.918 -93.267
ttt_random_weapon	2124.286377 -806.972229 -478.795685	1.827 4.929 -92.708
ttt_random_weapon	224.864700 -441.335388 -207.724396	-0.163 2.827 -94.138
ttt_random_weapon	364.169586 -370.501587 -206.784698	1.703 4.926 -92.991
ttt_random_weapon	-41.901501 38.982101 -240.195297	-2.035 15.674 85.368
ttt_random_weapon	323.235291 817.259277 -294.772797	1.568 4.917 -93.301
ttt_random_weapon	128.194504 786.112427 -294.799103	1.865 4.929 -92.619
ttt_random_weapon	252.518295 438.007385 -294.860901	2.188 4.155 -92.605
ttt_random_weapon	536.041809 -916.244446 -398.868042	1.448 5.157 -93.442
ttt_random_weapon	1655.763184 -1282.995483 -478.782288	1.676 4.924 -93.053
ttt_random_weapon	3242.360596 -62.119530 -478.766205	1.494 4.910 -93.471
ttt_random_weapon	3289.798096 1.351973 -478.776154	1.606 4.920 -93.213
weapon_ttt_dualelite	2709.854980 -518.682373 -464.032104	2.010 0.163 -0.059
weapon_ttt_dualelite	1259.156006 -681.861938 -375.933136	2.183 0.608 0.100
weapon_ttt_dualelite	1879.546387 177.451218 -415.905701	1.888 1.604 -0.394
weapon_ttt_dualelite	675.095886 756.503052 -295.998688	1.957 0.155 -0.067
item_ammo_smg1_ttt	-198.816605 -408.687195 -215.472305	-0.136 0.085 -0.153
item_ammo_smg1_ttt	-186.713394 -407.738312 -215.460403	0.107 0.222 0.233
item_ammo_smg1_ttt	806.881714 -1268.005127 -399.455994	0.029 5.216 0.151
item_ammo_smg1_ttt	2937.020996 -565.347107 -479.446106	0.096 12.421 -0.000
item_ammo_smg1_ttt	2908.036133 -614.020386 -474.002045	-88.939 -115.408 -4.348
item_ammo_smg1_ttt	1247.364014 -722.098389 -375.509766	0.093 2.635 0.091
item_ammo_smg1_ttt	1259.666260 -707.800842 -375.493225	0.396 0.382 0.557
item_ammo_smg1_ttt	1247.083740 -725.729248 -361.799713	0.040 0.214 0.167
item_ammo_smg1_ttt	1292.607422 -1325.799683 -287.511108	-0.393 0.153 -0.116
item_ammo_smg1_ttt	1284.510010 -1306.035645 -287.455933	0.019 0.675 0.119
item_ammo_smg1_ttt	1289.129639 -1325.858032 -273.776550	-0.521 0.382 -0.149
item_ammo_smg1_ttt	2758.374268 809.954407 -383.573517	0.602 -0.003 0.392
item_ammo_smg1_ttt	2808.488525 792.078796 -383.579865	0.426 -0.004 0.274
item_ammo_smg1_ttt	2823.171631 806.948181 -383.598267	0.170 -0.005 0.102
item_ammo_smg1_ttt	498.175079 799.446777 -294.120636	0.070 0.800 -9.031
item_ammo_smg1_ttt	509.839355 780.416138 -293.888702	16.501 -6.480 -0.002
item_ammo_smg1_ttt	514.521362 795.593018 -286.396088	0.149 -0.216 -87.374
item_ammo_smg1_ttt	2368.241943 17.334841 -414.346344	11.341 0.930 -0.040
item_ammo_smg1_ttt	2364.273682 -2.073721 -413.995483	7.947 -0.543 4.811
item_ammo_smg1_ttt	2368.722412 17.779327 -400.347534	11.718 -0.266 -0.269
weapon_ttt_m16	-59.113602 694.117310 -288.013214	-61.025 -173.447 91.605
weapon_ttt_m16	1110.983276 -1465.816772 -394.196198	-37.755 4.002 90.270
weapon_ttt_m16	2484.212646 940.542419 -365.217499	2.024 7.156 85.223
weapon_ttt_m16	462.304565 226.705612 -293.353241	-13.576 -1.613 13.746
ttt_playerspawn	-40.363304 335.737396 -295.516754	-0.038 0.000 0.038
ttt_playerspawn	-55.167282 739.833069 -295.517456	-0.030 -0.000 0.034
ttt_playerspawn	756.933533 588.445618 -255.435577	-0.013 -0.000 0.009
ttt_playerspawn	2449.640869 983.898071 -383.492767	-0.030 0.000 0.030
ttt_playerspawn	2484.041016 836.316650 -383.457642	-0.017 0.000 0.017
ttt_playerspawn	2413.364502 894.845764 -383.539917	-0.036 -0.000 0.039
ttt_playerspawn	3087.985596 -23.529308 -479.501923	0.032 0.000 -0.032
ttt_playerspawn	2829.028076 -566.704651 -463.496429	0.033 -0.000 0.033
ttt_playerspawn	2909.642334 -720.957825 -479.525757	-0.048 0.000 0.048
ttt_playerspawn	2169.199951 -562.883545 -463.506165	-0.028 0.000 0.028
